arg:  ['/var/spool/slurm/d/job07085/slurm_script']
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 49493
The maximum number of lines among all files: 63914
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
Cuda available :-  True

device cuda 

validation_data 10200
*************** New model ***************
Details: embed_dim = 64 num_heads = 16 num_induce = 256 stack = 3 dropout = 0.2

Epoch [1/250], Progress: 1/8, Train Loss: 0.6742, Train Accuracy: 0.7500
Epoch [1/250], Progress: 2/8, Train Loss: 0.4823, Train Accuracy: 1.0000
Epoch [1/250], Progress: 3/8, Train Loss: 0.7155, Train Accuracy: 0.2500
Epoch [1/250], Progress: 4/8, Train Loss: 0.6929, Train Accuracy: 0.5000
Epoch [1/250], Progress: 5/8, Train Loss: 0.8540, Train Accuracy: 0.2500
Epoch [1/250], Progress: 6/8, Train Loss: 0.6847, Train Accuracy: 0.5000
Epoch [1/250], Progress: 7/8, Train Loss: 0.9273, Train Accuracy: 0.2500
Epoch [1/250], Progress: 8/8, Train Loss: 0.7136, Train Accuracy: 0.5000
Epoch [1/250], Train Loss: 0.7181, Train Accuracy: 0.5000, Validation Loss: 0.7045, Validation Accuracy: 0.5000

Epoch [2/250], Progress: 1/8, Train Loss: 0.4187, Train Accuracy: 1.0000
Epoch [2/250], Progress: 2/8, Train Loss: 0.6087, Train Accuracy: 0.5000
Epoch [2/250], Progress: 3/8, Train Loss: 0.6118, Train Accuracy: 0.7500
Epoch [2/250], Progress: 4/8, Train Loss: 0.7039, Train Accuracy: 0.2500
Epoch [2/250], Progress: 5/8, Train Loss: 0.7980, Train Accuracy: 0.2500
Epoch [2/250], Progress: 6/8, Train Loss: 1.0044, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/8, Train Loss: 0.8777, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/8, Train Loss: 0.6923, Train Accuracy: 0.5000
Epoch [2/250], Train Loss: 0.7145, Train Accuracy: 0.4000, Validation Loss: 0.6919, Validation Accuracy: 0.5000

Epoch [3/250], Progress: 1/8, Train Loss: 0.7356, Train Accuracy: 0.5000
Epoch [3/250], Progress: 2/8, Train Loss: 0.5247, Train Accuracy: 0.7500
Epoch [3/250], Progress: 3/8, Train Loss: 0.6785, Train Accuracy: 0.5000
Epoch [3/250], Progress: 4/8, Train Loss: 0.9178, Train Accuracy: 0.2500
Epoch [3/250], Progress: 5/8, Train Loss: 0.6406, Train Accuracy: 0.5000
Epoch [3/250], Progress: 6/8, Train Loss: 0.5334, Train Accuracy: 1.0000
Epoch [3/250], Progress: 7/8, Train Loss: 0.6868, Train Accuracy: 0.5000
Epoch [3/250], Progress: 8/8, Train Loss: 0.5813, Train Accuracy: 1.0000
Epoch [3/250], Train Loss: 0.6623, Train Accuracy: 0.6000, Validation Loss: 0.6960, Validation Accuracy: 0.5000

Epoch [4/250], Progress: 1/8, Train Loss: 0.6374, Train Accuracy: 0.7500
Epoch [4/250], Progress: 2/8, Train Loss: 0.7102, Train Accuracy: 0.7500
Epoch [4/250], Progress: 3/8, Train Loss: 0.7538, Train Accuracy: 0.5000
Epoch [4/250], Progress: 4/8, Train Loss: 0.7217, Train Accuracy: 0.2500
Epoch [4/250], Progress: 5/8, Train Loss: 0.7617, Train Accuracy: 0.5000
Epoch [4/250], Progress: 6/8, Train Loss: 0.5080, Train Accuracy: 0.7500
Epoch [4/250], Progress: 7/8, Train Loss: 0.8389, Train Accuracy: 0.2500
Epoch [4/250], Progress: 8/8, Train Loss: 0.8584, Train Accuracy: 0.0000
Epoch [4/250], Train Loss: 0.7238, Train Accuracy: 0.5000, Validation Loss: 0.7021, Validation Accuracy: 0.5000

Epoch [5/250], Progress: 1/8, Train Loss: 0.7910, Train Accuracy: 0.2500
Epoch [5/250], Progress: 2/8, Train Loss: 0.7398, Train Accuracy: 0.5000
Epoch [5/250], Progress: 3/8, Train Loss: 0.6291, Train Accuracy: 0.7500
Epoch [5/250], Progress: 4/8, Train Loss: 0.6893, Train Accuracy: 0.5000
Epoch [5/250], Progress: 5/8, Train Loss: 0.6138, Train Accuracy: 1.0000
Epoch [5/250], Progress: 6/8, Train Loss: 0.5990, Train Accuracy: 0.5000
Epoch [5/250], Progress: 7/8, Train Loss: 0.7126, Train Accuracy: 0.5000
Epoch [5/250], Progress: 8/8, Train Loss: 0.5290, Train Accuracy: 0.5000
Epoch [5/250], Train Loss: 0.6629, Train Accuracy: 0.5667, Validation Loss: 0.6961, Validation Accuracy: 0.5000

Epoch [6/250], Progress: 1/8, Train Loss: 0.7207, Train Accuracy: 0.7500
Epoch [6/250], Progress: 2/8, Train Loss: 0.6984, Train Accuracy: 0.5000
Epoch [6/250], Progress: 3/8, Train Loss: 0.6443, Train Accuracy: 0.7500
Epoch [6/250], Progress: 4/8, Train Loss: 0.7470, Train Accuracy: 0.5000
Epoch [6/250], Progress: 5/8, Train Loss: 0.7651, Train Accuracy: 0.2500
Epoch [6/250], Progress: 6/8, Train Loss: 0.7133, Train Accuracy: 0.2500
Epoch [6/250], Progress: 7/8, Train Loss: 0.6529, Train Accuracy: 0.5000
Epoch [6/250], Progress: 8/8, Train Loss: 0.5446, Train Accuracy: 1.0000
Epoch [6/250], Train Loss: 0.6858, Train Accuracy: 0.5333, Validation Loss: 0.6909, Validation Accuracy: 0.5000

Epoch [7/250], Progress: 1/8, Train Loss: 0.7227, Train Accuracy: 0.5000
Epoch [7/250], Progress: 2/8, Train Loss: 0.7390, Train Accuracy: 0.0000
Epoch [7/250], Progress: 3/8, Train Loss: 0.6535, Train Accuracy: 0.7500
Epoch [7/250], Progress: 4/8, Train Loss: 0.7784, Train Accuracy: 0.5000
Epoch [7/250], Progress: 5/8, Train Loss: 0.7921, Train Accuracy: 0.2500
Epoch [7/250], Progress: 6/8, Train Loss: 0.6396, Train Accuracy: 0.7500
Epoch [7/250], Progress: 7/8, Train Loss: 0.7458, Train Accuracy: 0.2500
Epoch [7/250], Progress: 8/8, Train Loss: 0.5652, Train Accuracy: 1.0000
Epoch [7/250], Train Loss: 0.7046, Train Accuracy: 0.4667, Validation Loss: 0.6908, Validation Accuracy: 0.5000

Epoch [8/250], Progress: 1/8, Train Loss: 0.6655, Train Accuracy: 0.5000
Epoch [8/250], Progress: 2/8, Train Loss: 0.6557, Train Accuracy: 0.5000
Epoch [8/250], Progress: 3/8, Train Loss: 0.7856, Train Accuracy: 0.2500
Epoch [8/250], Progress: 4/8, Train Loss: 0.6201, Train Accuracy: 0.7500
Epoch [8/250], Progress: 5/8, Train Loss: 0.6482, Train Accuracy: 0.7500
Epoch [8/250], Progress: 6/8, Train Loss: 0.6570, Train Accuracy: 0.5000
Epoch [8/250], Progress: 7/8, Train Loss: 0.7108, Train Accuracy: 0.5000
Epoch [8/250], Progress: 8/8, Train Loss: 0.7878, Train Accuracy: 0.0000
Epoch [8/250], Train Loss: 0.6913, Train Accuracy: 0.5000, Validation Loss: 0.6932, Validation Accuracy: 0.5333

Epoch [9/250], Progress: 1/8, Train Loss: 0.7347, Train Accuracy: 0.5000
Epoch [9/250], Progress: 2/8, Train Loss: 0.7540, Train Accuracy: 0.2500
Epoch [9/250], Progress: 3/8, Train Loss: 0.7186, Train Accuracy: 0.5000
Epoch [9/250], Progress: 4/8, Train Loss: 0.6342, Train Accuracy: 0.5000
Epoch [9/250], Progress: 5/8, Train Loss: 0.6826, Train Accuracy: 0.5000
Epoch [9/250], Progress: 6/8, Train Loss: 0.7517, Train Accuracy: 0.5000
Epoch [9/250], Progress: 7/8, Train Loss: 0.5629, Train Accuracy: 1.0000
Epoch [9/250], Progress: 8/8, Train Loss: 0.6300, Train Accuracy: 0.5000
Epoch [9/250], Train Loss: 0.6836, Train Accuracy: 0.5333, Validation Loss: 0.7027, Validation Accuracy: 0.5000

Epoch [10/250], Progress: 1/8, Train Loss: 0.7162, Train Accuracy: 0.5000
Epoch [10/250], Progress: 2/8, Train Loss: 0.7906, Train Accuracy: 0.2500
Epoch [10/250], Progress: 3/8, Train Loss: 0.6804, Train Accuracy: 0.7500
Epoch [10/250], Progress: 4/8, Train Loss: 0.8435, Train Accuracy: 0.5000
Epoch [10/250], Progress: 5/8, Train Loss: 0.6791, Train Accuracy: 0.7500
Epoch [10/250], Progress: 6/8, Train Loss: 0.7483, Train Accuracy: 0.5000
Epoch [10/250], Progress: 7/8, Train Loss: 0.6829, Train Accuracy: 0.2500
Epoch [10/250], Progress: 8/8, Train Loss: 0.6756, Train Accuracy: 0.5000
Epoch [10/250], Train Loss: 0.7271, Train Accuracy: 0.5000, Validation Loss: 0.6940, Validation Accuracy: 0.5000

Epoch [11/250], Progress: 1/8, Train Loss: 0.6739, Train Accuracy: 0.5000
Epoch [11/250], Progress: 2/8, Train Loss: 0.6980, Train Accuracy: 0.5000
Epoch [11/250], Progress: 3/8, Train Loss: 0.7554, Train Accuracy: 0.2500
Epoch [11/250], Progress: 4/8, Train Loss: 0.7463, Train Accuracy: 0.5000
Epoch [11/250], Progress: 5/8, Train Loss: 0.7704, Train Accuracy: 0.5000
Epoch [11/250], Progress: 6/8, Train Loss: 0.6682, Train Accuracy: 0.7500
Epoch [11/250], Progress: 7/8, Train Loss: 0.8276, Train Accuracy: 0.0000
Epoch [11/250], Progress: 8/8, Train Loss: 0.6874, Train Accuracy: 0.5000
Epoch [11/250], Train Loss: 0.7284, Train Accuracy: 0.4333, Validation Loss: 0.6920, Validation Accuracy: 0.5000
