arg:  ['/var/spool/slurm/d/job08700/slurm_script']
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 49493
The maximum number of lines among all files: 63914
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
Cuda available :-  True

device cuda 

[18410 28947  2128 ... 48259 38690 21391]
*************** New model ***************
Details: embed_dim = 64 num_heads = 16 num_induce = 256 stack = 3 dropout = 0.2

Epoch [1/250], Progress: 1/8, Train Loss: 0.4826, Train Accuracy: 1.0000
Epoch [1/250], Progress: 2/8, Train Loss: 0.5779, Train Accuracy: 0.7500
Epoch [1/250], Progress: 3/8, Train Loss: 0.6528, Train Accuracy: 0.5000
Epoch [1/250], Progress: 4/8, Train Loss: 0.7880, Train Accuracy: 0.5000
Epoch [1/250], Progress: 5/8, Train Loss: 1.0271, Train Accuracy: 0.2500
Epoch [1/250], Progress: 6/8, Train Loss: 1.0155, Train Accuracy: 0.2500
Epoch [1/250], Progress: 7/8, Train Loss: 0.7376, Train Accuracy: 0.5000
Epoch [1/250], Progress: 8/8, Train Loss: 0.9770, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 0.7823, Train Accuracy: 0.5000, Validation Loss: 0.7083, Validation Accuracy: 0.5000

Epoch [2/250], Progress: 1/8, Train Loss: 0.7157, Train Accuracy: 0.5000
Epoch [2/250], Progress: 2/8, Train Loss: 0.7075, Train Accuracy: 0.2500
Epoch [2/250], Progress: 3/8, Train Loss: 0.6922, Train Accuracy: 0.5000
Epoch [2/250], Progress: 4/8, Train Loss: 0.7402, Train Accuracy: 0.5000
Epoch [2/250], Progress: 5/8, Train Loss: 0.6216, Train Accuracy: 1.0000
Epoch [2/250], Progress: 6/8, Train Loss: 0.6190, Train Accuracy: 0.7500
Epoch [2/250], Progress: 7/8, Train Loss: 0.6401, Train Accuracy: 1.0000
Epoch [2/250], Progress: 8/8, Train Loss: 0.8875, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 0.7030, Train Accuracy: 0.6000, Validation Loss: 0.6968, Validation Accuracy: 0.5000

Epoch [3/250], Progress: 1/8, Train Loss: 0.6721, Train Accuracy: 0.7500
Epoch [3/250], Progress: 2/8, Train Loss: 0.6211, Train Accuracy: 0.7500
Epoch [3/250], Progress: 3/8, Train Loss: 0.6111, Train Accuracy: 0.7500
Epoch [3/250], Progress: 4/8, Train Loss: 0.7116, Train Accuracy: 0.5000
Epoch [3/250], Progress: 5/8, Train Loss: 0.7372, Train Accuracy: 0.2500
Epoch [3/250], Progress: 6/8, Train Loss: 0.8491, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/8, Train Loss: 0.4809, Train Accuracy: 1.0000
Epoch [3/250], Progress: 8/8, Train Loss: 0.7766, Train Accuracy: 0.0000
Epoch [3/250], Train Loss: 0.6825, Train Accuracy: 0.5333, Validation Loss: 0.7096, Validation Accuracy: 0.5000

Epoch [4/250], Progress: 1/8, Train Loss: 0.7575, Train Accuracy: 0.5000
Epoch [4/250], Progress: 2/8, Train Loss: 0.6079, Train Accuracy: 0.7500
Epoch [4/250], Progress: 3/8, Train Loss: 0.6163, Train Accuracy: 0.7500
Epoch [4/250], Progress: 4/8, Train Loss: 0.6705, Train Accuracy: 0.2500
Epoch [4/250], Progress: 5/8, Train Loss: 0.7220, Train Accuracy: 0.5000
Epoch [4/250], Progress: 6/8, Train Loss: 0.6093, Train Accuracy: 0.7500
Epoch [4/250], Progress: 7/8, Train Loss: 0.7231, Train Accuracy: 0.5000
Epoch [4/250], Progress: 8/8, Train Loss: 0.7762, Train Accuracy: 0.5000
Epoch [4/250], Train Loss: 0.6853, Train Accuracy: 0.5667, Validation Loss: 0.6912, Validation Accuracy: 0.5000

Epoch [5/250], Progress: 1/8, Train Loss: 0.6891, Train Accuracy: 0.2500
Epoch [5/250], Progress: 2/8, Train Loss: 0.7120, Train Accuracy: 0.2500
Epoch [5/250], Progress: 3/8, Train Loss: 0.7057, Train Accuracy: 0.5000
Epoch [5/250], Progress: 4/8, Train Loss: 0.6756, Train Accuracy: 0.5000
Epoch [5/250], Progress: 5/8, Train Loss: 0.7979, Train Accuracy: 0.0000
Epoch [5/250], Progress: 6/8, Train Loss: 0.7700, Train Accuracy: 0.2500
Epoch [5/250], Progress: 7/8, Train Loss: 0.5646, Train Accuracy: 1.0000
Epoch [5/250], Progress: 8/8, Train Loss: 0.8494, Train Accuracy: 0.0000
Epoch [5/250], Train Loss: 0.7205, Train Accuracy: 0.3667, Validation Loss: 0.6930, Validation Accuracy: 0.5000

Epoch [6/250], Progress: 1/8, Train Loss: 0.6124, Train Accuracy: 0.7500
Epoch [6/250], Progress: 2/8, Train Loss: 0.7114, Train Accuracy: 0.2500
Epoch [6/250], Progress: 3/8, Train Loss: 0.6263, Train Accuracy: 1.0000
Epoch [6/250], Progress: 4/8, Train Loss: 0.8025, Train Accuracy: 0.0000
Epoch [6/250], Progress: 5/8, Train Loss: 0.6945, Train Accuracy: 0.5000
Epoch [6/250], Progress: 6/8, Train Loss: 0.7095, Train Accuracy: 0.5000
Epoch [6/250], Progress: 7/8, Train Loss: 0.8077, Train Accuracy: 0.2500
Epoch [6/250], Progress: 8/8, Train Loss: 0.6601, Train Accuracy: 0.5000
Epoch [6/250], Train Loss: 0.7030, Train Accuracy: 0.4667, Validation Loss: 0.6910, Validation Accuracy: 0.5000

Epoch [7/250], Progress: 1/8, Train Loss: 0.6598, Train Accuracy: 0.7500
Epoch [7/250], Progress: 2/8, Train Loss: 0.6415, Train Accuracy: 0.5000
Epoch [7/250], Progress: 3/8, Train Loss: 0.7295, Train Accuracy: 0.5000
Epoch [7/250], Progress: 4/8, Train Loss: 0.7030, Train Accuracy: 0.5000
Epoch [7/250], Progress: 5/8, Train Loss: 0.6766, Train Accuracy: 0.5000
Epoch [7/250], Progress: 6/8, Train Loss: 0.6359, Train Accuracy: 0.7500
Epoch [7/250], Progress: 7/8, Train Loss: 0.7429, Train Accuracy: 0.5000
Epoch [7/250], Progress: 8/8, Train Loss: 0.7696, Train Accuracy: 0.5000
Epoch [7/250], Train Loss: 0.6948, Train Accuracy: 0.5667, Validation Loss: 0.6966, Validation Accuracy: 0.5000

Epoch [8/250], Progress: 1/8, Train Loss: 0.6994, Train Accuracy: 0.5000
Epoch [8/250], Progress: 2/8, Train Loss: 0.7704, Train Accuracy: 0.5000
Epoch [8/250], Progress: 3/8, Train Loss: 0.7797, Train Accuracy: 0.5000
Epoch [8/250], Progress: 4/8, Train Loss: 0.8036, Train Accuracy: 0.2500
Epoch [8/250], Progress: 5/8, Train Loss: 0.7193, Train Accuracy: 0.5000
Epoch [8/250], Progress: 6/8, Train Loss: 0.5936, Train Accuracy: 0.7500
Epoch [8/250], Progress: 7/8, Train Loss: 0.7435, Train Accuracy: 0.0000
Epoch [8/250], Progress: 8/8, Train Loss: 0.7763, Train Accuracy: 0.5000
Epoch [8/250], Train Loss: 0.7357, Train Accuracy: 0.4333, Validation Loss: 0.6922, Validation Accuracy: 0.5000

Epoch [9/250], Progress: 1/8, Train Loss: 0.7410, Train Accuracy: 0.2500
Epoch [9/250], Progress: 2/8, Train Loss: 0.7657, Train Accuracy: 0.2500
Epoch [9/250], Progress: 3/8, Train Loss: 0.6866, Train Accuracy: 0.5000
Epoch [9/250], Progress: 4/8, Train Loss: 0.6989, Train Accuracy: 0.5000
Epoch [9/250], Progress: 5/8, Train Loss: 0.6244, Train Accuracy: 0.7500
Epoch [9/250], Progress: 6/8, Train Loss: 0.7817, Train Accuracy: 0.2500
Epoch [9/250], Progress: 7/8, Train Loss: 0.6909, Train Accuracy: 0.5000
Epoch [9/250], Progress: 8/8, Train Loss: 0.6369, Train Accuracy: 1.0000
Epoch [9/250], Train Loss: 0.7033, Train Accuracy: 0.4667, Validation Loss: 0.6938, Validation Accuracy: 0.5000

Epoch [10/250], Progress: 1/8, Train Loss: 0.6357, Train Accuracy: 0.7500
Epoch [10/250], Progress: 2/8, Train Loss: 0.6772, Train Accuracy: 0.7500
Epoch [10/250], Progress: 3/8, Train Loss: 0.6805, Train Accuracy: 0.5000
Epoch [10/250], Progress: 4/8, Train Loss: 0.6865, Train Accuracy: 0.5000
Epoch [10/250], Progress: 5/8, Train Loss: 0.7390, Train Accuracy: 0.5000
Epoch [10/250], Progress: 6/8, Train Loss: 0.6701, Train Accuracy: 0.7500
Epoch [10/250], Progress: 7/8, Train Loss: 0.6709, Train Accuracy: 0.7500
Epoch [10/250], Progress: 8/8, Train Loss: 0.8024, Train Accuracy: 0.0000
Epoch [10/250], Train Loss: 0.6953, Train Accuracy: 0.6000, Validation Loss: 0.6936, Validation Accuracy: 0.5000

Epoch [11/250], Progress: 1/8, Train Loss: 0.7774, Train Accuracy: 0.2500
Epoch [11/250], Progress: 2/8, Train Loss: 0.7015, Train Accuracy: 0.5000
Epoch [11/250], Progress: 3/8, Train Loss: 0.8673, Train Accuracy: 0.0000
Epoch [11/250], Progress: 4/8, Train Loss: 0.7749, Train Accuracy: 0.2500
Epoch [11/250], Progress: 5/8, Train Loss: 0.7146, Train Accuracy: 0.2500
Epoch [11/250], Progress: 6/8, Train Loss: 0.6384, Train Accuracy: 0.7500
Epoch [11/250], Progress: 7/8, Train Loss: 0.6505, Train Accuracy: 0.7500
Epoch [11/250], Progress: 8/8, Train Loss: 0.6397, Train Accuracy: 1.0000
Epoch [11/250], Train Loss: 0.7205, Train Accuracy: 0.4333, Validation Loss: 0.6931, Validation Accuracy: 0.5000
