arg:  ['/var/spool/slurm/d/job08701/slurm_script']
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 49493
The maximum number of lines among all files: 63914
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
Cuda available :-  True

device cuda 

[30394 35225 27694 ... 45236 46491  9114]
*************** New model ***************
Details: embed_dim = 64 num_heads = 16 num_induce = 256 stack = 3 dropout = 0.2

Epoch [1/250], Progress: 1/8, Train Loss: 0.7389, Train Accuracy: 0.2500
Epoch [1/250], Progress: 2/8, Train Loss: 0.5658, Train Accuracy: 0.7500
Epoch [1/250], Progress: 3/8, Train Loss: 0.9100, Train Accuracy: 0.2500
Epoch [1/250], Progress: 4/8, Train Loss: 0.7628, Train Accuracy: 0.5000
Epoch [1/250], Progress: 5/8, Train Loss: 0.7619, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/8, Train Loss: 0.8533, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/8, Train Loss: 0.6453, Train Accuracy: 0.7500
Epoch [1/250], Progress: 8/8, Train Loss: 0.7228, Train Accuracy: 0.5000
Epoch [1/250], Train Loss: 0.7451, Train Accuracy: 0.3667, Validation Loss: 0.6915, Validation Accuracy: 0.5000

Epoch [2/250], Progress: 1/8, Train Loss: 0.6995, Train Accuracy: 0.5000
Epoch [2/250], Progress: 2/8, Train Loss: 0.7731, Train Accuracy: 0.5000
Epoch [2/250], Progress: 3/8, Train Loss: 0.6355, Train Accuracy: 0.7500
Epoch [2/250], Progress: 4/8, Train Loss: 0.6394, Train Accuracy: 0.7500
Epoch [2/250], Progress: 5/8, Train Loss: 0.6877, Train Accuracy: 0.2500
Epoch [2/250], Progress: 6/8, Train Loss: 0.7252, Train Accuracy: 0.2500
Epoch [2/250], Progress: 7/8, Train Loss: 0.6868, Train Accuracy: 0.5000
Epoch [2/250], Progress: 8/8, Train Loss: 0.6954, Train Accuracy: 0.5000
Epoch [2/250], Train Loss: 0.6928, Train Accuracy: 0.5000, Validation Loss: 0.6931, Validation Accuracy: 0.5000

Epoch [3/250], Progress: 1/8, Train Loss: 0.7202, Train Accuracy: 0.5000
Epoch [3/250], Progress: 2/8, Train Loss: 0.7662, Train Accuracy: 0.2500
Epoch [3/250], Progress: 3/8, Train Loss: 0.7250, Train Accuracy: 0.2500
Epoch [3/250], Progress: 4/8, Train Loss: 0.7473, Train Accuracy: 0.2500
Epoch [3/250], Progress: 5/8, Train Loss: 0.6719, Train Accuracy: 0.5000
Epoch [3/250], Progress: 6/8, Train Loss: 0.7555, Train Accuracy: 0.2500
Epoch [3/250], Progress: 7/8, Train Loss: 0.7942, Train Accuracy: 0.2500
Epoch [3/250], Progress: 8/8, Train Loss: 0.6790, Train Accuracy: 0.5000
Epoch [3/250], Train Loss: 0.7324, Train Accuracy: 0.3333, Validation Loss: 0.6975, Validation Accuracy: 0.5000

Epoch [4/250], Progress: 1/8, Train Loss: 0.7092, Train Accuracy: 0.5000
Epoch [4/250], Progress: 2/8, Train Loss: 0.7240, Train Accuracy: 0.2500
Epoch [4/250], Progress: 3/8, Train Loss: 0.8230, Train Accuracy: 0.2500
Epoch [4/250], Progress: 4/8, Train Loss: 0.6024, Train Accuracy: 0.7500
Epoch [4/250], Progress: 5/8, Train Loss: 0.6746, Train Accuracy: 0.7500
Epoch [4/250], Progress: 6/8, Train Loss: 0.6993, Train Accuracy: 0.2500
Epoch [4/250], Progress: 7/8, Train Loss: 0.8040, Train Accuracy: 0.0000
Epoch [4/250], Progress: 8/8, Train Loss: 0.8798, Train Accuracy: 0.5000
Epoch [4/250], Train Loss: 0.7396, Train Accuracy: 0.4000, Validation Loss: 0.6968, Validation Accuracy: 0.5000

Epoch [5/250], Progress: 1/8, Train Loss: 0.8299, Train Accuracy: 0.5000
Epoch [5/250], Progress: 2/8, Train Loss: 0.7728, Train Accuracy: 0.2500
Epoch [5/250], Progress: 3/8, Train Loss: 0.6622, Train Accuracy: 0.7500
Epoch [5/250], Progress: 4/8, Train Loss: 0.7754, Train Accuracy: 0.5000
Epoch [5/250], Progress: 5/8, Train Loss: 0.6591, Train Accuracy: 0.7500
Epoch [5/250], Progress: 6/8, Train Loss: 0.6090, Train Accuracy: 0.7500
Epoch [5/250], Progress: 7/8, Train Loss: 0.7229, Train Accuracy: 0.2500
Epoch [5/250], Progress: 8/8, Train Loss: 0.9681, Train Accuracy: 0.0000
Epoch [5/250], Train Loss: 0.7499, Train Accuracy: 0.5000, Validation Loss: 0.6927, Validation Accuracy: 0.5000

Epoch [6/250], Progress: 1/8, Train Loss: 0.7315, Train Accuracy: 0.7500
Epoch [6/250], Progress: 2/8, Train Loss: 0.5895, Train Accuracy: 1.0000
Epoch [6/250], Progress: 3/8, Train Loss: 0.7387, Train Accuracy: 0.5000
Epoch [6/250], Progress: 4/8, Train Loss: 0.7471, Train Accuracy: 0.0000
Epoch [6/250], Progress: 5/8, Train Loss: 0.8007, Train Accuracy: 0.2500
Epoch [6/250], Progress: 6/8, Train Loss: 0.7060, Train Accuracy: 0.5000
Epoch [6/250], Progress: 7/8, Train Loss: 0.8468, Train Accuracy: 0.0000
Epoch [6/250], Progress: 8/8, Train Loss: 0.7330, Train Accuracy: 0.5000
Epoch [6/250], Train Loss: 0.7366, Train Accuracy: 0.4333, Validation Loss: 0.6935, Validation Accuracy: 0.5000

Epoch [7/250], Progress: 1/8, Train Loss: 0.7635, Train Accuracy: 0.2500
Epoch [7/250], Progress: 2/8, Train Loss: 0.7767, Train Accuracy: 0.2500
Epoch [7/250], Progress: 3/8, Train Loss: 0.7212, Train Accuracy: 0.5000
Epoch [7/250], Progress: 4/8, Train Loss: 0.7462, Train Accuracy: 0.5000
Epoch [7/250], Progress: 5/8, Train Loss: 0.6669, Train Accuracy: 0.5000
Epoch [7/250], Progress: 6/8, Train Loss: 0.7470, Train Accuracy: 0.2500
Epoch [7/250], Progress: 7/8, Train Loss: 0.6239, Train Accuracy: 1.0000
Epoch [7/250], Progress: 8/8, Train Loss: 0.5765, Train Accuracy: 1.0000
Epoch [7/250], Train Loss: 0.7027, Train Accuracy: 0.5000, Validation Loss: 0.6966, Validation Accuracy: 0.5000

Epoch [8/250], Progress: 1/8, Train Loss: 0.6535, Train Accuracy: 0.5000
Epoch [8/250], Progress: 2/8, Train Loss: 0.6365, Train Accuracy: 0.7500
Epoch [8/250], Progress: 3/8, Train Loss: 0.8097, Train Accuracy: 0.0000
Epoch [8/250], Progress: 4/8, Train Loss: 0.6883, Train Accuracy: 0.7500
Epoch [8/250], Progress: 5/8, Train Loss: 0.6328, Train Accuracy: 1.0000
Epoch [8/250], Progress: 6/8, Train Loss: 0.7594, Train Accuracy: 0.5000
Epoch [8/250], Progress: 7/8, Train Loss: 0.7803, Train Accuracy: 0.0000
Epoch [8/250], Progress: 8/8, Train Loss: 0.7019, Train Accuracy: 0.5000
Epoch [8/250], Train Loss: 0.7078, Train Accuracy: 0.5000, Validation Loss: 0.6951, Validation Accuracy: 0.5000

Epoch [9/250], Progress: 1/8, Train Loss: 0.7445, Train Accuracy: 0.7500
Epoch [9/250], Progress: 2/8, Train Loss: 0.8295, Train Accuracy: 0.0000
Epoch [9/250], Progress: 3/8, Train Loss: 0.7609, Train Accuracy: 0.2500
Epoch [9/250], Progress: 4/8, Train Loss: 0.7179, Train Accuracy: 0.5000
Epoch [9/250], Progress: 5/8, Train Loss: 0.5947, Train Accuracy: 0.7500
Epoch [9/250], Progress: 6/8, Train Loss: 0.7018, Train Accuracy: 0.7500
Epoch [9/250], Progress: 7/8, Train Loss: 0.7551, Train Accuracy: 0.0000
Epoch [9/250], Progress: 8/8, Train Loss: 0.9226, Train Accuracy: 0.0000
Epoch [9/250], Train Loss: 0.7534, Train Accuracy: 0.4000, Validation Loss: 0.6932, Validation Accuracy: 0.5000

Epoch [10/250], Progress: 1/8, Train Loss: 0.7429, Train Accuracy: 0.2500
Epoch [10/250], Progress: 2/8, Train Loss: 0.8149, Train Accuracy: 0.2500
Epoch [10/250], Progress: 3/8, Train Loss: 0.7158, Train Accuracy: 0.2500
Epoch [10/250], Progress: 4/8, Train Loss: 0.6995, Train Accuracy: 0.5000
Epoch [10/250], Progress: 5/8, Train Loss: 0.6235, Train Accuracy: 0.7500
Epoch [10/250], Progress: 6/8, Train Loss: 0.7106, Train Accuracy: 0.5000
Epoch [10/250], Progress: 7/8, Train Loss: 0.6348, Train Accuracy: 0.7500
Epoch [10/250], Progress: 8/8, Train Loss: 0.6853, Train Accuracy: 0.5000
Epoch [10/250], Train Loss: 0.7034, Train Accuracy: 0.4667, Validation Loss: 0.6931, Validation Accuracy: 0.5000

Epoch [11/250], Progress: 1/8, Train Loss: 0.6827, Train Accuracy: 0.7500
Epoch [11/250], Progress: 2/8, Train Loss: 0.7506, Train Accuracy: 0.2500
Epoch [11/250], Progress: 3/8, Train Loss: 0.6790, Train Accuracy: 0.5000
Epoch [11/250], Progress: 4/8, Train Loss: 0.6547, Train Accuracy: 0.5000
Epoch [11/250], Progress: 5/8, Train Loss: 0.7045, Train Accuracy: 0.5000
Epoch [11/250], Progress: 6/8, Train Loss: 0.7472, Train Accuracy: 0.2500
Epoch [11/250], Progress: 7/8, Train Loss: 0.6363, Train Accuracy: 0.5000
Epoch [11/250], Progress: 8/8, Train Loss: 0.5412, Train Accuracy: 1.0000
Epoch [11/250], Train Loss: 0.6745, Train Accuracy: 0.5000, Validation Loss: 0.6950, Validation Accuracy: 0.5000
