arg:  ['/var/spool/slurm/d/job08702/slurm_script']
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 49493
The maximum number of lines among all files: 63914
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
Cuda available :-  True

device cuda 

[15841 32469  7381 ... 40706  3791 21631]
*************** New model ***************
Details: embed_dim = 64 num_heads = 16 num_induce = 256 stack = 3 dropout = 0.2

Epoch [1/250], Progress: 1/8, Train Loss: 0.5065, Train Accuracy: 0.7500
Epoch [1/250], Progress: 2/8, Train Loss: 1.0577, Train Accuracy: 0.2500
Epoch [1/250], Progress: 3/8, Train Loss: 0.7888, Train Accuracy: 0.5000
Epoch [1/250], Progress: 4/8, Train Loss: 0.5731, Train Accuracy: 0.7500
Epoch [1/250], Progress: 5/8, Train Loss: 0.9703, Train Accuracy: 0.2500
Epoch [1/250], Progress: 6/8, Train Loss: 0.7680, Train Accuracy: 0.5000
Epoch [1/250], Progress: 7/8, Train Loss: 0.8792, Train Accuracy: 0.2500
Epoch [1/250], Progress: 8/8, Train Loss: 0.7706, Train Accuracy: 0.5000
Epoch [1/250], Train Loss: 0.7893, Train Accuracy: 0.4667, Validation Loss: 0.6933, Validation Accuracy: 0.5000

Epoch [2/250], Progress: 1/8, Train Loss: 0.6771, Train Accuracy: 0.5000
Epoch [2/250], Progress: 2/8, Train Loss: 0.7696, Train Accuracy: 0.5000
Epoch [2/250], Progress: 3/8, Train Loss: 0.8801, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/8, Train Loss: 0.7520, Train Accuracy: 0.2500
Epoch [2/250], Progress: 5/8, Train Loss: 0.7577, Train Accuracy: 0.5000
Epoch [2/250], Progress: 6/8, Train Loss: 0.6837, Train Accuracy: 0.5000
Epoch [2/250], Progress: 7/8, Train Loss: 0.6710, Train Accuracy: 0.7500
Epoch [2/250], Progress: 8/8, Train Loss: 0.9049, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 0.7620, Train Accuracy: 0.4000, Validation Loss: 0.6920, Validation Accuracy: 0.5333

Epoch [3/250], Progress: 1/8, Train Loss: 0.8384, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/8, Train Loss: 0.6583, Train Accuracy: 0.5000
Epoch [3/250], Progress: 3/8, Train Loss: 0.5670, Train Accuracy: 0.7500
Epoch [3/250], Progress: 4/8, Train Loss: 0.9665, Train Accuracy: 0.2500
Epoch [3/250], Progress: 5/8, Train Loss: 0.7411, Train Accuracy: 0.2500
Epoch [3/250], Progress: 6/8, Train Loss: 0.6299, Train Accuracy: 0.5000
Epoch [3/250], Progress: 7/8, Train Loss: 0.6592, Train Accuracy: 0.5000
Epoch [3/250], Progress: 8/8, Train Loss: 0.9640, Train Accuracy: 0.0000
Epoch [3/250], Train Loss: 0.7530, Train Accuracy: 0.3667, Validation Loss: 0.7003, Validation Accuracy: 0.5000

Epoch [4/250], Progress: 1/8, Train Loss: 0.7616, Train Accuracy: 0.5000
Epoch [4/250], Progress: 2/8, Train Loss: 0.6753, Train Accuracy: 0.5000
Epoch [4/250], Progress: 3/8, Train Loss: 0.8051, Train Accuracy: 0.2500
Epoch [4/250], Progress: 4/8, Train Loss: 0.7126, Train Accuracy: 0.5000
Epoch [4/250], Progress: 5/8, Train Loss: 0.7159, Train Accuracy: 0.5000
Epoch [4/250], Progress: 6/8, Train Loss: 0.6559, Train Accuracy: 0.5000
Epoch [4/250], Progress: 7/8, Train Loss: 0.7098, Train Accuracy: 0.5000
Epoch [4/250], Progress: 8/8, Train Loss: 0.7931, Train Accuracy: 0.0000
Epoch [4/250], Train Loss: 0.7286, Train Accuracy: 0.4333, Validation Loss: 0.6920, Validation Accuracy: 0.5000

Epoch [5/250], Progress: 1/8, Train Loss: 0.6469, Train Accuracy: 0.7500
Epoch [5/250], Progress: 2/8, Train Loss: 0.6666, Train Accuracy: 0.7500
Epoch [5/250], Progress: 3/8, Train Loss: 0.7801, Train Accuracy: 0.2500
Epoch [5/250], Progress: 4/8, Train Loss: 0.8007, Train Accuracy: 0.2500
Epoch [5/250], Progress: 5/8, Train Loss: 0.7366, Train Accuracy: 0.2500
Epoch [5/250], Progress: 6/8, Train Loss: 0.7359, Train Accuracy: 0.0000
Epoch [5/250], Progress: 7/8, Train Loss: 0.6622, Train Accuracy: 0.7500
Epoch [5/250], Progress: 8/8, Train Loss: 0.5821, Train Accuracy: 1.0000
Epoch [5/250], Train Loss: 0.7014, Train Accuracy: 0.4667, Validation Loss: 0.6910, Validation Accuracy: 0.5000

Epoch [6/250], Progress: 1/8, Train Loss: 0.7156, Train Accuracy: 0.5000
Epoch [6/250], Progress: 2/8, Train Loss: 0.6613, Train Accuracy: 0.7500
Epoch [6/250], Progress: 3/8, Train Loss: 0.7558, Train Accuracy: 0.0000
Epoch [6/250], Progress: 4/8, Train Loss: 0.7017, Train Accuracy: 0.5000
Epoch [6/250], Progress: 5/8, Train Loss: 0.7412, Train Accuracy: 0.2500
Epoch [6/250], Progress: 6/8, Train Loss: 0.5834, Train Accuracy: 1.0000
Epoch [6/250], Progress: 7/8, Train Loss: 0.7020, Train Accuracy: 0.2500
Epoch [6/250], Progress: 8/8, Train Loss: 0.8466, Train Accuracy: 0.0000
Epoch [6/250], Train Loss: 0.7135, Train Accuracy: 0.4333, Validation Loss: 0.6938, Validation Accuracy: 0.5000

Epoch [7/250], Progress: 1/8, Train Loss: 0.6530, Train Accuracy: 0.7500
Epoch [7/250], Progress: 2/8, Train Loss: 0.7256, Train Accuracy: 0.0000
Epoch [7/250], Progress: 3/8, Train Loss: 0.5873, Train Accuracy: 1.0000
Epoch [7/250], Progress: 4/8, Train Loss: 0.6010, Train Accuracy: 1.0000
Epoch [7/250], Progress: 5/8, Train Loss: 0.8177, Train Accuracy: 0.5000
Epoch [7/250], Progress: 6/8, Train Loss: 0.6754, Train Accuracy: 0.7500
Epoch [7/250], Progress: 7/8, Train Loss: 0.7118, Train Accuracy: 0.5000
Epoch [7/250], Progress: 8/8, Train Loss: 0.6166, Train Accuracy: 1.0000
Epoch [7/250], Train Loss: 0.6736, Train Accuracy: 0.6667, Validation Loss: 0.6961, Validation Accuracy: 0.5000

Epoch [8/250], Progress: 1/8, Train Loss: 0.7217, Train Accuracy: 0.5000
Epoch [8/250], Progress: 2/8, Train Loss: 0.6458, Train Accuracy: 0.5000
Epoch [8/250], Progress: 3/8, Train Loss: 0.8056, Train Accuracy: 0.2500
Epoch [8/250], Progress: 4/8, Train Loss: 0.7405, Train Accuracy: 0.2500
Epoch [8/250], Progress: 5/8, Train Loss: 0.7584, Train Accuracy: 0.2500
Epoch [8/250], Progress: 6/8, Train Loss: 0.6390, Train Accuracy: 0.7500
Epoch [8/250], Progress: 7/8, Train Loss: 0.7774, Train Accuracy: 0.2500
Epoch [8/250], Progress: 8/8, Train Loss: 0.6313, Train Accuracy: 0.5000
Epoch [8/250], Train Loss: 0.7150, Train Accuracy: 0.4000, Validation Loss: 0.6942, Validation Accuracy: 0.5000

Epoch [9/250], Progress: 1/8, Train Loss: 0.6325, Train Accuracy: 0.7500
Epoch [9/250], Progress: 2/8, Train Loss: 0.8206, Train Accuracy: 0.2500
Epoch [9/250], Progress: 3/8, Train Loss: 0.7495, Train Accuracy: 0.2500
Epoch [9/250], Progress: 4/8, Train Loss: 0.7653, Train Accuracy: 0.5000
Epoch [9/250], Progress: 5/8, Train Loss: 0.6889, Train Accuracy: 0.5000
Epoch [9/250], Progress: 6/8, Train Loss: 0.7066, Train Accuracy: 0.2500
Epoch [9/250], Progress: 7/8, Train Loss: 0.7517, Train Accuracy: 0.5000
Epoch [9/250], Progress: 8/8, Train Loss: 0.6738, Train Accuracy: 1.0000
Epoch [9/250], Train Loss: 0.7236, Train Accuracy: 0.4667, Validation Loss: 0.6932, Validation Accuracy: 0.5000

Epoch [10/250], Progress: 1/8, Train Loss: 0.6445, Train Accuracy: 0.7500
Epoch [10/250], Progress: 2/8, Train Loss: 0.7535, Train Accuracy: 0.2500
Epoch [10/250], Progress: 3/8, Train Loss: 0.6830, Train Accuracy: 0.5000
Epoch [10/250], Progress: 4/8, Train Loss: 0.7857, Train Accuracy: 0.2500
Epoch [10/250], Progress: 5/8, Train Loss: 0.8094, Train Accuracy: 0.5000
Epoch [10/250], Progress: 6/8, Train Loss: 0.7094, Train Accuracy: 0.2500
Epoch [10/250], Progress: 7/8, Train Loss: 0.6316, Train Accuracy: 0.5000
Epoch [10/250], Progress: 8/8, Train Loss: 0.6969, Train Accuracy: 0.0000
Epoch [10/250], Train Loss: 0.7142, Train Accuracy: 0.4000, Validation Loss: 0.6939, Validation Accuracy: 0.5000

Epoch [11/250], Progress: 1/8, Train Loss: 0.7535, Train Accuracy: 0.5000
Epoch [11/250], Progress: 2/8, Train Loss: 0.8419, Train Accuracy: 0.2500
Epoch [11/250], Progress: 3/8, Train Loss: 0.6724, Train Accuracy: 0.5000
Epoch [11/250], Progress: 4/8, Train Loss: 0.7434, Train Accuracy: 0.2500
Epoch [11/250], Progress: 5/8, Train Loss: 0.6876, Train Accuracy: 0.5000
Epoch [11/250], Progress: 6/8, Train Loss: 0.7065, Train Accuracy: 0.5000
Epoch [11/250], Progress: 7/8, Train Loss: 0.6752, Train Accuracy: 0.7500
Epoch [11/250], Progress: 8/8, Train Loss: 0.6965, Train Accuracy: 0.5000
Epoch [11/250], Train Loss: 0.7221, Train Accuracy: 0.4667, Validation Loss: 0.6929, Validation Accuracy: 0.5333
