ModelNet Loading
------ (9840, 2048, 3) (9840, 1)
------ (2468, 2048, 3) (2468, 1)
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39] [100  50 100  20 100 100  20 100 100  20  20  20  86  20  86  20 100 100
  20  20  20 100 100  86  20 100 100  20 100  20 100  20  20 100  20 100
 100 100  20  20]
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39] [100  50 100  20 100 100  20 100 100  20  20  20  86  20  86  20 100 100
  20  20  20 100 100  86  20 100 100  20 100  20 100  20  20 100  20 100
 100 100  20  20]
(9840, 2048, 3)
(2468, 2048, 3)
Cuda available :-  True

device cuda 

*************** Using pretrained ***************
ContrastiveLearning_Model/saved_models/ModelNetPretrained40/masked_encoder_160_512_150_200_64_16_128_3_0.05_True_False_pd1024_ed64_lr0.001_sndl_ST.pth
val_subsample_size:  128

bs: 32 ss 256 

 Epoch [1/250], Train Loss: 2.9358, Train Accuracy: 0.2219, Train F1: 0.1929, Validation Loss: 2.4485,Validation Accuracy: 0.3209, Val F1: 0.2376
 Epoch [2/250], Train Loss: 2.2562, Train Accuracy: 0.3750, Train F1: 0.3447, Validation Loss: 2.0591,Validation Accuracy: 0.3922, Val F1: 0.3224
 Epoch [3/250], Train Loss: 1.9645, Train Accuracy: 0.4594, Train F1: 0.4304, Validation Loss: 1.9187,Validation Accuracy: 0.4169, Val F1: 0.3733
 Epoch [4/250], Train Loss: 1.8484, Train Accuracy: 0.4641, Train F1: 0.4407, Validation Loss: 1.8144,Validation Accuracy: 0.4441, Val F1: 0.3875
 Epoch [5/250], Train Loss: 1.7263, Train Accuracy: 0.4879, Train F1: 0.4690, Validation Loss: 1.7989,Validation Accuracy: 0.4449, Val F1: 0.4043
 Epoch [6/250], Train Loss: 1.6376, Train Accuracy: 0.5180, Train F1: 0.5029, Validation Loss: 1.6211,Validation Accuracy: 0.5004, Val F1: 0.4325
 Epoch [7/250], Train Loss: 1.5860, Train Accuracy: 0.5227, Train F1: 0.5011, Validation Loss: 1.6401,Validation Accuracy: 0.5012, Val F1: 0.4346
 Epoch [8/250], Train Loss: 1.4806, Train Accuracy: 0.5469, Train F1: 0.5345, Validation Loss: 1.5010,Validation Accuracy: 0.5555, Val F1: 0.4927
 Epoch [9/250], Train Loss: 1.5012, Train Accuracy: 0.5523, Train F1: 0.5329, Validation Loss: 1.4577,Validation Accuracy: 0.5563, Val F1: 0.4976
 Epoch [10/250], Train Loss: 1.4297, Train Accuracy: 0.5699, Train F1: 0.5538, Validation Loss: 1.3599,Validation Accuracy: 0.5944, Val F1: 0.5195
 Epoch [11/250], Train Loss: 1.3980, Train Accuracy: 0.5754, Train F1: 0.5604, Validation Loss: 1.4363,Validation Accuracy: 0.5490, Val F1: 0.4778
