ModelNet Loading
------ (9840, 2048, 3) (9840, 1)
------ (2468, 2048, 3) (2468, 1)
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39] [100  50 100  20 100 100  20 100 100  20  20  20  86  20  86  20 100 100
  20  20  20 100 100  86  20 100 100  20 100  20 100  20  20 100  20 100
 100 100  20  20]
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39] [100  50 100  20 100 100  20 100 100  20  20  20  86  20  86  20 100 100
  20  20  20 100 100  86  20 100 100  20 100  20 100  20  20 100  20 100
 100 100  20  20]
(9840, 2048, 3)
(2468, 2048, 3)
Cuda available :-  True

device cuda 

*************** New model ***************
num_classes 40
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 use_layernorm =  True pre_layernorm =  False
val_subsample_size:  128

bs: 32 ss 256 

 Epoch [1/250], Train Loss: 3.6810, Train Accuracy: 0.0371, Train F1: 0.0266, Validation Loss: 3.2584,Validation Accuracy: 0.1110, Val F1: 0.0371
 Epoch [2/250], Train Loss: 3.0045, Train Accuracy: 0.1641, Train F1: 0.1230, Validation Loss: 2.7317,Validation Accuracy: 0.2488, Val F1: 0.1462
 Epoch [3/250], Train Loss: 2.6310, Train Accuracy: 0.2543, Train F1: 0.2084, Validation Loss: 2.5162,Validation Accuracy: 0.2771, Val F1: 0.2016
 Epoch [4/250], Train Loss: 2.4324, Train Accuracy: 0.3070, Train F1: 0.2702, Validation Loss: 2.2869,Validation Accuracy: 0.3225, Val F1: 0.2521
 Epoch [5/250], Train Loss: 2.2955, Train Accuracy: 0.3316, Train F1: 0.3023, Validation Loss: 2.2149,Validation Accuracy: 0.3391, Val F1: 0.2817
 Epoch [6/250], Train Loss: 2.1405, Train Accuracy: 0.3922, Train F1: 0.3550, Validation Loss: 1.9662,Validation Accuracy: 0.4157, Val F1: 0.3214
 Epoch [7/250], Train Loss: 2.0066, Train Accuracy: 0.4098, Train F1: 0.3811, Validation Loss: 1.9519,Validation Accuracy: 0.4182, Val F1: 0.3321
 Epoch [8/250], Train Loss: 1.8706, Train Accuracy: 0.4480, Train F1: 0.4228, Validation Loss: 1.7983,Validation Accuracy: 0.4408, Val F1: 0.3635
 Epoch [9/250], Train Loss: 1.7556, Train Accuracy: 0.4867, Train F1: 0.4552, Validation Loss: 1.6738,Validation Accuracy: 0.4959, Val F1: 0.4081
 Epoch [10/250], Train Loss: 1.7316, Train Accuracy: 0.4883, Train F1: 0.4702, Validation Loss: 1.6300,Validation Accuracy: 0.5130, Val F1: 0.4224
 Epoch [11/250], Train Loss: 1.6875, Train Accuracy: 0.4980, Train F1: 0.4742, Validation Loss: 1.6273,Validation Accuracy: 0.4996, Val F1: 0.4093
 Epoch [12/250], Train Loss: 1.6522, Train Accuracy: 0.5000, Train F1: 0.4796, Validation Loss: 1.7733,Validation Accuracy: 0.4368, Val F1: 0.3720
 Epoch [13/250], Train Loss: 1.6296, Train Accuracy: 0.5004, Train F1: 0.4793, Validation Loss: 1.5954,Validation Accuracy: 0.5118, Val F1: 0.4162
 Epoch [14/250], Train Loss: 1.5627, Train Accuracy: 0.5207, Train F1: 0.5028, Validation Loss: 1.5103,Validation Accuracy: 0.5348, Val F1: 0.4531
 Epoch [15/250], Train Loss: 1.5126, Train Accuracy: 0.5441, Train F1: 0.5275, Validation Loss: 1.5696,Validation Accuracy: 0.5085, Val F1: 0.4389
 Epoch [16/250], Train Loss: 1.5041, Train Accuracy: 0.5246, Train F1: 0.5061, Validation Loss: 1.4431,Validation Accuracy: 0.5506, Val F1: 0.4640
 Epoch [17/250], Train Loss: 1.4121, Train Accuracy: 0.5609, Train F1: 0.5437, Validation Loss: 1.4301,Validation Accuracy: 0.5340, Val F1: 0.4598
 Epoch [18/250], Train Loss: 1.3795, Train Accuracy: 0.5770, Train F1: 0.5631, Validation Loss: 1.4420,Validation Accuracy: 0.5531, Val F1: 0.4650
 Epoch [19/250], Train Loss: 1.4176, Train Accuracy: 0.5801, Train F1: 0.5647, Validation Loss: 1.4430,Validation Accuracy: 0.5539, Val F1: 0.4698
 Epoch [20/250], Train Loss: 1.3672, Train Accuracy: 0.5723, Train F1: 0.5589, Validation Loss: 1.3640,Validation Accuracy: 0.5681, Val F1: 0.4851
 Epoch [21/250], Train Loss: 1.3097, Train Accuracy: 0.5875, Train F1: 0.5725, Validation Loss: 1.2997,Validation Accuracy: 0.6106, Val F1: 0.5340
 Epoch [22/250], Train Loss: 1.2681, Train Accuracy: 0.6055, Train F1: 0.5930, Validation Loss: 1.4309,Validation Accuracy: 0.5425, Val F1: 0.4765
 Epoch [23/250], Train Loss: 1.2567, Train Accuracy: 0.6020, Train F1: 0.5878, Validation Loss: 1.2934,Validation Accuracy: 0.6058, Val F1: 0.5313
 Epoch [24/250], Train Loss: 1.2055, Train Accuracy: 0.6188, Train F1: 0.6046, Validation Loss: 1.2897,Validation Accuracy: 0.5879, Val F1: 0.5246
 Epoch [25/250], Train Loss: 1.2321, Train Accuracy: 0.6219, Train F1: 0.6098, Validation Loss: 1.1917,Validation Accuracy: 0.6386, Val F1: 0.5529
 Epoch [26/250], Train Loss: 1.2362, Train Accuracy: 0.6004, Train F1: 0.5886, Validation Loss: 1.2604,Validation Accuracy: 0.5920, Val F1: 0.5237
 Epoch [27/250], Train Loss: 1.2446, Train Accuracy: 0.6129, Train F1: 0.6024, Validation Loss: 1.2135,Validation Accuracy: 0.6268, Val F1: 0.5428
 Epoch [28/250], Train Loss: 1.1558, Train Accuracy: 0.6383, Train F1: 0.6291, Validation Loss: 1.2975,Validation Accuracy: 0.5713, Val F1: 0.5140
 Epoch [29/250], Train Loss: 1.1320, Train Accuracy: 0.6500, Train F1: 0.6389, Validation Loss: 1.1990,Validation Accuracy: 0.6297, Val F1: 0.5597
 Epoch [30/250], Train Loss: 1.0921, Train Accuracy: 0.6594, Train F1: 0.6499, Validation Loss: 1.1997,Validation Accuracy: 0.6224, Val F1: 0.5520
 Epoch [31/250], Train Loss: 1.1084, Train Accuracy: 0.6641, Train F1: 0.6556, Validation Loss: 1.1800,Validation Accuracy: 0.6244, Val F1: 0.5487
 Epoch [32/250], Train Loss: 1.1332, Train Accuracy: 0.6430, Train F1: 0.6367, Validation Loss: 1.1595,Validation Accuracy: 0.6293, Val F1: 0.5542
 Epoch [33/250], Train Loss: 1.0770, Train Accuracy: 0.6555, Train F1: 0.6490, Validation Loss: 1.1712,Validation Accuracy: 0.6317, Val F1: 0.5466
 Epoch [34/250], Train Loss: 1.0094, Train Accuracy: 0.6918, Train F1: 0.6832, Validation Loss: 1.0597,Validation Accuracy: 0.6799, Val F1: 0.5983
