arg:  ['/var/spool/slurm/d/job08500/slurm_script', 'ContrastiveLearning_Model/saved_models/files99/NewRunCorrected/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 49493
The maximum number of lines among all files: 63914
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
Cuda available :-  True

device cuda 

[21111  9143 39052 ... 45210 24952 33358]
train num batches 24
val num batches 24
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/24, Train Loss: 12.8107, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/24, Train Loss: 6.7122, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/24, Train Loss: 4.0931, Train Accuracy: 0.2500
Epoch [1/250], Progress: 4/24, Train Loss: 5.6751, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/24, Train Loss: 5.8698, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/24, Train Loss: 6.2200, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/24, Train Loss: 5.3581, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/24, Train Loss: 5.2626, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/24, Train Loss: 4.2084, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/24, Train Loss: 4.4816, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/24, Train Loss: 5.0841, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/24, Train Loss: 8.7659, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/24, Train Loss: 6.1344, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/24, Train Loss: 7.3755, Train Accuracy: 0.2500
Epoch [1/250], Progress: 15/24, Train Loss: 5.2161, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/24, Train Loss: 6.8849, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/24, Train Loss: 4.6366, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/24, Train Loss: 5.0089, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/24, Train Loss: 4.8784, Train Accuracy: 0.0000
Epoch [1/250], Progress: 20/24, Train Loss: 4.5516, Train Accuracy: 0.0000
Epoch [1/250], Progress: 21/24, Train Loss: 4.7856, Train Accuracy: 0.0000
Epoch [1/250], Progress: 22/24, Train Loss: 4.9616, Train Accuracy: 0.0000
Epoch [1/250], Progress: 23/24, Train Loss: 5.3429, Train Accuracy: 0.0000
Epoch [1/250], Progress: 24/24, Train Loss: 5.2898, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 5.8170, Train Accuracy: 0.0208, Validation Loss: 4.4573, Validation Accuracy: 0.0625

Epoch [2/250], Progress: 1/24, Train Loss: 4.5536, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/24, Train Loss: 4.5252, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/24, Train Loss: 4.5718, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/24, Train Loss: 4.3116, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/24, Train Loss: 4.3662, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/24, Train Loss: 3.8472, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/24, Train Loss: 4.3784, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/24, Train Loss: 4.2759, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/24, Train Loss: 4.6572, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/24, Train Loss: 4.3335, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/24, Train Loss: 4.3647, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/24, Train Loss: 4.8780, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/24, Train Loss: 4.6574, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/24, Train Loss: 4.1876, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/24, Train Loss: 3.8362, Train Accuracy: 0.2500
Epoch [2/250], Progress: 16/24, Train Loss: 4.8780, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/24, Train Loss: 4.4249, Train Accuracy: 0.2500
Epoch [2/250], Progress: 18/24, Train Loss: 4.4857, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/24, Train Loss: 4.7021, Train Accuracy: 0.0000
Epoch [2/250], Progress: 20/24, Train Loss: 4.9240, Train Accuracy: 0.0000
Epoch [2/250], Progress: 21/24, Train Loss: 4.4726, Train Accuracy: 0.0000
Epoch [2/250], Progress: 22/24, Train Loss: 4.6833, Train Accuracy: 0.0000
Epoch [2/250], Progress: 23/24, Train Loss: 4.1175, Train Accuracy: 0.0000
Epoch [2/250], Progress: 24/24, Train Loss: 4.6196, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.4605, Train Accuracy: 0.0208, Validation Loss: 4.0906, Validation Accuracy: 0.0729

Epoch [3/250], Progress: 1/24, Train Loss: 4.6971, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/24, Train Loss: 4.6051, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/24, Train Loss: 3.8280, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/24, Train Loss: 4.0243, Train Accuracy: 0.2500
Epoch [3/250], Progress: 5/24, Train Loss: 4.1698, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/24, Train Loss: 4.3428, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/24, Train Loss: 4.1216, Train Accuracy: 0.0000
Epoch [3/250], Progress: 8/24, Train Loss: 4.0595, Train Accuracy: 0.2500
Epoch [3/250], Progress: 9/24, Train Loss: 3.3734, Train Accuracy: 0.2500
Epoch [3/250], Progress: 10/24, Train Loss: 3.9493, Train Accuracy: 0.0000
Epoch [3/250], Progress: 11/24, Train Loss: 3.5725, Train Accuracy: 0.2500
Epoch [3/250], Progress: 12/24, Train Loss: 4.0310, Train Accuracy: 0.0000
Epoch [3/250], Progress: 13/24, Train Loss: 3.6550, Train Accuracy: 0.0000
Epoch [3/250], Progress: 14/24, Train Loss: 4.0328, Train Accuracy: 0.2500
Epoch [3/250], Progress: 15/24, Train Loss: 4.4000, Train Accuracy: 0.0000
Epoch [3/250], Progress: 16/24, Train Loss: 4.3912, Train Accuracy: 0.0000
Epoch [3/250], Progress: 17/24, Train Loss: 3.8628, Train Accuracy: 0.0000
Epoch [3/250], Progress: 18/24, Train Loss: 3.6843, Train Accuracy: 0.0000
Epoch [3/250], Progress: 19/24, Train Loss: 2.7773, Train Accuracy: 0.0000
Epoch [3/250], Progress: 20/24, Train Loss: 4.3830, Train Accuracy: 0.0000
Epoch [3/250], Progress: 21/24, Train Loss: 4.6437, Train Accuracy: 0.0000
Epoch [3/250], Progress: 22/24, Train Loss: 4.3727, Train Accuracy: 0.0000
Epoch [3/250], Progress: 23/24, Train Loss: 4.0751, Train Accuracy: 0.0000
Epoch [3/250], Progress: 24/24, Train Loss: 4.1082, Train Accuracy: 0.0000
Epoch [3/250], Train Loss: 4.0484, Train Accuracy: 0.0521, Validation Loss: 3.6140, Validation Accuracy: 0.1458

Epoch [4/250], Progress: 1/24, Train Loss: 4.0287, Train Accuracy: 0.2500
Epoch [4/250], Progress: 2/24, Train Loss: 3.5001, Train Accuracy: 0.0000
Epoch [4/250], Progress: 3/24, Train Loss: 4.3420, Train Accuracy: 0.0000
Epoch [4/250], Progress: 4/24, Train Loss: 3.8494, Train Accuracy: 0.0000
Epoch [4/250], Progress: 5/24, Train Loss: 3.2632, Train Accuracy: 0.2500
Epoch [4/250], Progress: 6/24, Train Loss: 3.6970, Train Accuracy: 0.0000
Epoch [4/250], Progress: 7/24, Train Loss: 4.0707, Train Accuracy: 0.2500
Epoch [4/250], Progress: 8/24, Train Loss: 2.7424, Train Accuracy: 0.2500
Epoch [4/250], Progress: 9/24, Train Loss: 4.0144, Train Accuracy: 0.0000
Epoch [4/250], Progress: 10/24, Train Loss: 3.5341, Train Accuracy: 0.0000
Epoch [4/250], Progress: 11/24, Train Loss: 3.3463, Train Accuracy: 0.2500
Epoch [4/250], Progress: 12/24, Train Loss: 3.8608, Train Accuracy: 0.0000
Epoch [4/250], Progress: 13/24, Train Loss: 3.8467, Train Accuracy: 0.2500
Epoch [4/250], Progress: 14/24, Train Loss: 3.1315, Train Accuracy: 0.0000
Epoch [4/250], Progress: 15/24, Train Loss: 3.3823, Train Accuracy: 0.2500
