arg:  ['/var/spool/slurm/d/job08638/slurm_script', 'ContrastiveLearning_Model/saved_models/files99/NewRunCorrected/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 49493
The maximum number of lines among all files: 63914
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
Cuda available :-  True

device cuda 

[ 8617  2790 25956 ... 45253  8977 27350]
train num batches 24
val num batches 24
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/24, Train Loss: 5.4145, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/24, Train Loss: 8.1181, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/24, Train Loss: 5.8728, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/24, Train Loss: 6.7627, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/24, Train Loss: 5.0316, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/24, Train Loss: 5.3908, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/24, Train Loss: 8.5620, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/24, Train Loss: 4.6056, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/24, Train Loss: 4.2588, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/24, Train Loss: 4.8151, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/24, Train Loss: 4.3807, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/24, Train Loss: 5.4318, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/24, Train Loss: 5.0422, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/24, Train Loss: 5.4258, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/24, Train Loss: 5.1523, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/24, Train Loss: 4.2355, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/24, Train Loss: 4.9704, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/24, Train Loss: 4.9698, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/24, Train Loss: 5.0827, Train Accuracy: 0.0000
Epoch [1/250], Progress: 20/24, Train Loss: 4.9571, Train Accuracy: 0.0000
Epoch [1/250], Progress: 21/24, Train Loss: 5.0078, Train Accuracy: 0.2500
Epoch [1/250], Progress: 22/24, Train Loss: 4.7534, Train Accuracy: 0.0000
Epoch [1/250], Progress: 23/24, Train Loss: 4.9933, Train Accuracy: 0.0000
Epoch [1/250], Progress: 24/24, Train Loss: 5.3288, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 5.3568, Train Accuracy: 0.0104, Validation Loss: 4.4763, Validation Accuracy: 0.0104

Epoch [2/250], Progress: 1/24, Train Loss: 4.5148, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/24, Train Loss: 3.8443, Train Accuracy: 0.2500
Epoch [2/250], Progress: 3/24, Train Loss: 4.3439, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/24, Train Loss: 5.0029, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/24, Train Loss: 4.3735, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/24, Train Loss: 4.2930, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/24, Train Loss: 4.3347, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/24, Train Loss: 4.4534, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/24, Train Loss: 4.4300, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/24, Train Loss: 4.4015, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/24, Train Loss: 4.8085, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/24, Train Loss: 4.4291, Train Accuracy: 0.0000
