arg:  ['/var/spool/slurm/d/job08512/slurm_script']
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 49493
The maximum number of lines among all files: 63914
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
Cuda available :-  True

device cuda 

[24659  3201 37076 ... 19390 48555   412]
train num batches 24
val num batches 24
*************** New model ***************
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 batch_size = 4 subsample_size = 8000

Epoch [1/250], Progress: 1/24, Train Loss: 4.4086, Train Accuracy: 0.2500
Epoch [1/250], Progress: 2/24, Train Loss: 4.9413, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/24, Train Loss: 4.3209, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/24, Train Loss: 5.0621, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/24, Train Loss: 5.0117, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/24, Train Loss: 5.1898, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/24, Train Loss: 4.6139, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/24, Train Loss: 5.0186, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/24, Train Loss: 4.9746, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/24, Train Loss: 4.7580, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/24, Train Loss: 4.8739, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/24, Train Loss: 5.0427, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/24, Train Loss: 5.0725, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/24, Train Loss: 4.9811, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/24, Train Loss: 4.9215, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/24, Train Loss: 5.2146, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/24, Train Loss: 5.1401, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/24, Train Loss: 4.8029, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/24, Train Loss: 4.8987, Train Accuracy: 0.0000
Epoch [1/250], Progress: 20/24, Train Loss: 5.0905, Train Accuracy: 0.0000
Epoch [1/250], Progress: 21/24, Train Loss: 5.1768, Train Accuracy: 0.0000
Epoch [1/250], Progress: 22/24, Train Loss: 5.0280, Train Accuracy: 0.0000
Epoch [1/250], Progress: 23/24, Train Loss: 5.2430, Train Accuracy: 0.0000
Epoch [1/250], Progress: 24/24, Train Loss: 5.3690, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.9648, Train Accuracy: 0.0104, Validation Loss: 4.6440, Validation Accuracy: 0.0104

Epoch [2/250], Progress: 1/24, Train Loss: 4.7223, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/24, Train Loss: 4.5093, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/24, Train Loss: 4.7359, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/24, Train Loss: 4.7375, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/24, Train Loss: 4.6697, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/24, Train Loss: 4.8906, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/24, Train Loss: 4.5915, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/24, Train Loss: 4.7966, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/24, Train Loss: 4.9777, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/24, Train Loss: 4.5368, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/24, Train Loss: 4.8200, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/24, Train Loss: 4.3613, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/24, Train Loss: 4.6080, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/24, Train Loss: 4.6840, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/24, Train Loss: 5.0402, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/24, Train Loss: 4.6713, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/24, Train Loss: 4.7827, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/24, Train Loss: 4.6707, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/24, Train Loss: 4.7768, Train Accuracy: 0.0000
Epoch [2/250], Progress: 20/24, Train Loss: 4.8324, Train Accuracy: 0.0000
Epoch [2/250], Progress: 21/24, Train Loss: 4.6362, Train Accuracy: 0.0000
Epoch [2/250], Progress: 22/24, Train Loss: 4.9637, Train Accuracy: 0.0000
Epoch [2/250], Progress: 23/24, Train Loss: 4.6973, Train Accuracy: 0.0000
Epoch [2/250], Progress: 24/24, Train Loss: 5.1242, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.7432, Train Accuracy: 0.0000, Validation Loss: 4.5989, Validation Accuracy: 0.0104

Epoch [3/250], Progress: 1/24, Train Loss: 4.7301, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/24, Train Loss: 4.5792, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/24, Train Loss: 4.3979, Train Accuracy: 0.0000
