arg:  ['/var/spool/slurm/d/job08513/slurm_script']
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 49493
The maximum number of lines among all files: 63914
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
Cuda available :-  True

device cuda 

[49107 10268 25592 ... 17272 47996  9203]
train num batches 24
val num batches 24
*************** New model ***************
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 batch_size = 4 subsample_size = 8000

Epoch [1/250], Progress: 1/24, Train Loss: 4.9402, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/24, Train Loss: 4.4435, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/24, Train Loss: 5.1249, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/24, Train Loss: 4.0605, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/24, Train Loss: 4.4641, Train Accuracy: 0.2500
Epoch [1/250], Progress: 6/24, Train Loss: 4.6814, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/24, Train Loss: 4.9006, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/24, Train Loss: 5.2092, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/24, Train Loss: 4.5696, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/24, Train Loss: 4.8892, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/24, Train Loss: 5.0253, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/24, Train Loss: 4.8606, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/24, Train Loss: 4.7471, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/24, Train Loss: 4.8115, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/24, Train Loss: 5.4326, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/24, Train Loss: 5.1614, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/24, Train Loss: 5.2258, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/24, Train Loss: 5.1080, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/24, Train Loss: 4.8051, Train Accuracy: 0.0000
Epoch [1/250], Progress: 20/24, Train Loss: 5.2199, Train Accuracy: 0.0000
Epoch [1/250], Progress: 21/24, Train Loss: 5.2962, Train Accuracy: 0.0000
Epoch [1/250], Progress: 22/24, Train Loss: 5.1381, Train Accuracy: 0.0000
Epoch [1/250], Progress: 23/24, Train Loss: 5.3084, Train Accuracy: 0.0000
Epoch [1/250], Progress: 24/24, Train Loss: 5.5461, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.9571, Train Accuracy: 0.0104, Validation Loss: 4.6501, Validation Accuracy: 0.0104

Epoch [2/250], Progress: 1/24, Train Loss: 4.8459, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/24, Train Loss: 4.6587, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/24, Train Loss: 4.4235, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/24, Train Loss: 4.6823, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/24, Train Loss: 4.9020, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/24, Train Loss: 4.7610, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/24, Train Loss: 4.2955, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/24, Train Loss: 4.7335, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/24, Train Loss: 4.4519, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/24, Train Loss: 4.3936, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/24, Train Loss: 4.6256, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/24, Train Loss: 4.7800, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/24, Train Loss: 4.8697, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/24, Train Loss: 4.9303, Train Accuracy: 0.0000
