normalization: 0
(35708, 15000, 3)
(5158, 15000, 3)
Cuda available :-  True

device cuda 

*************** Using pretrained ***************
ContrastiveLearning_Model/saved_models/ShapeNetPretrained55/unmasked_encoder_80_2048_200_400_0_64_16_128_3_0.05_True_False_sndl.pth

bs: 16 ss 2048 


Epoch [1/250], Progress: 1/135, Train Loss: 3.8958, Train Accuracy: 0.0625
Epoch [1/250], Progress: 2/135, Train Loss: 4.0560, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/135, Train Loss: 4.0223, Train Accuracy: 0.0625
Epoch [1/250], Progress: 4/135, Train Loss: 4.0184, Train Accuracy: 0.0625
Epoch [1/250], Progress: 5/135, Train Loss: 3.9680, Train Accuracy: 0.0625
Epoch [1/250], Progress: 6/135, Train Loss: 3.9563, Train Accuracy: 0.0625
Epoch [1/250], Progress: 7/135, Train Loss: 4.0274, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/135, Train Loss: 3.9115, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/135, Train Loss: 3.9956, Train Accuracy: 0.1875
Epoch [1/250], Progress: 10/135, Train Loss: 3.8051, Train Accuracy: 0.1250
Epoch [1/250], Progress: 11/135, Train Loss: 3.9361, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/135, Train Loss: 4.0238, Train Accuracy: 0.0625
Epoch [1/250], Progress: 13/135, Train Loss: 3.8322, Train Accuracy: 0.1875
Epoch [1/250], Progress: 14/135, Train Loss: 3.8932, Train Accuracy: 0.0625
Epoch [1/250], Progress: 15/135, Train Loss: 4.1080, Train Accuracy: 0.0625
Epoch [1/250], Progress: 16/135, Train Loss: 3.7503, Train Accuracy: 0.1250
Epoch [1/250], Progress: 17/135, Train Loss: 4.0013, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/135, Train Loss: 3.8398, Train Accuracy: 0.0625
Epoch [1/250], Progress: 19/135, Train Loss: 3.7993, Train Accuracy: 0.1875
Epoch [1/250], Progress: 20/135, Train Loss: 3.8120, Train Accuracy: 0.0000
Epoch [1/250], Progress: 21/135, Train Loss: 3.8452, Train Accuracy: 0.1875
Epoch [1/250], Progress: 22/135, Train Loss: 3.8004, Train Accuracy: 0.0625
Epoch [1/250], Progress: 23/135, Train Loss: 4.0712, Train Accuracy: 0.0625
Epoch [1/250], Progress: 24/135, Train Loss: 3.8009, Train Accuracy: 0.0625
Epoch [1/250], Progress: 25/135, Train Loss: 3.4903, Train Accuracy: 0.1875
Epoch [1/250], Progress: 26/135, Train Loss: 3.7395, Train Accuracy: 0.0625
Epoch [1/250], Progress: 27/135, Train Loss: 4.0309, Train Accuracy: 0.0625
Epoch [1/250], Progress: 28/135, Train Loss: 3.6285, Train Accuracy: 0.1875
Epoch [1/250], Progress: 29/135, Train Loss: 3.6287, Train Accuracy: 0.2500
