normalization: 0
(35708, 15000, 3)
(5158, 15000, 3)
Cuda available :-  True

device cuda 

*************** Using pretrained ***************
ContrastiveLearning_Model/saved_models/ShapeNetPretrained55/unmasked_encoder_80_2048_200_400_0_64_16_128_3_0.05_True_False_sndl.pth

bs: 16 ss 2048 


Epoch [1/250], Progress: 1/135, Train Loss: 4.1308, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/135, Train Loss: 4.2041, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/135, Train Loss: 3.9274, Train Accuracy: 0.0625
Epoch [1/250], Progress: 4/135, Train Loss: 4.0205, Train Accuracy: 0.1250
Epoch [1/250], Progress: 5/135, Train Loss: 4.0811, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/135, Train Loss: 4.1386, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/135, Train Loss: 4.0695, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/135, Train Loss: 4.1016, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/135, Train Loss: 3.9183, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/135, Train Loss: 3.9096, Train Accuracy: 0.1250
Epoch [1/250], Progress: 11/135, Train Loss: 3.7397, Train Accuracy: 0.0625
Epoch [1/250], Progress: 12/135, Train Loss: 4.0899, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/135, Train Loss: 3.7943, Train Accuracy: 0.0625
Epoch [1/250], Progress: 14/135, Train Loss: 3.8486, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/135, Train Loss: 3.8797, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/135, Train Loss: 3.9730, Train Accuracy: 0.0625
Epoch [1/250], Progress: 17/135, Train Loss: 3.8046, Train Accuracy: 0.0625
Epoch [1/250], Progress: 18/135, Train Loss: 4.0047, Train Accuracy: 0.0625
Epoch [1/250], Progress: 19/135, Train Loss: 3.9253, Train Accuracy: 0.1250
Epoch [1/250], Progress: 20/135, Train Loss: 4.0855, Train Accuracy: 0.0000
Epoch [1/250], Progress: 21/135, Train Loss: 3.8470, Train Accuracy: 0.0625
Epoch [1/250], Progress: 22/135, Train Loss: 3.8051, Train Accuracy: 0.1250
Epoch [1/250], Progress: 23/135, Train Loss: 3.4926, Train Accuracy: 0.1875
Epoch [1/250], Progress: 24/135, Train Loss: 3.7907, Train Accuracy: 0.0000
Epoch [1/250], Progress: 25/135, Train Loss: 3.7065, Train Accuracy: 0.1875
Epoch [1/250], Progress: 26/135, Train Loss: 3.6572, Train Accuracy: 0.1250
Epoch [1/250], Progress: 27/135, Train Loss: 3.9493, Train Accuracy: 0.1250
Epoch [1/250], Progress: 28/135, Train Loss: 3.6089, Train Accuracy: 0.2500
Epoch [1/250], Progress: 29/135, Train Loss: 3.5567, Train Accuracy: 0.1875
