normalization: 0
(35708, 15000, 3)
(5158, 15000, 3)
Cuda available :-  True

device cuda 

*************** New model ***************
num_classes 55
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 use_layernorm =  True pre_layernorm =  False

bs: 16 ss 2048 


Epoch [1/250], Progress: 1/135, Train Loss: 4.0188, Train Accuracy: 0.1875
Epoch [1/250], Progress: 2/135, Train Loss: 4.1992, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/135, Train Loss: 4.2546, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/135, Train Loss: 4.1342, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/135, Train Loss: 4.1506, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/135, Train Loss: 4.0930, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/135, Train Loss: 4.0013, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/135, Train Loss: 4.1015, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/135, Train Loss: 4.3173, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/135, Train Loss: 4.0711, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/135, Train Loss: 4.0646, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/135, Train Loss: 4.3754, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/135, Train Loss: 4.2979, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/135, Train Loss: 4.0711, Train Accuracy: 0.0625
Epoch [1/250], Progress: 15/135, Train Loss: 3.9672, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/135, Train Loss: 4.1155, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/135, Train Loss: 4.1306, Train Accuracy: 0.0625
Epoch [1/250], Progress: 18/135, Train Loss: 4.0028, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/135, Train Loss: 4.1455, Train Accuracy: 0.0000
Epoch [1/250], Progress: 20/135, Train Loss: 4.2271, Train Accuracy: 0.0000
Epoch [1/250], Progress: 21/135, Train Loss: 4.0580, Train Accuracy: 0.0625
Epoch [1/250], Progress: 22/135, Train Loss: 4.1163, Train Accuracy: 0.0000
Epoch [1/250], Progress: 23/135, Train Loss: 4.1705, Train Accuracy: 0.0000
Epoch [1/250], Progress: 24/135, Train Loss: 3.9427, Train Accuracy: 0.0000
Epoch [1/250], Progress: 25/135, Train Loss: 4.0441, Train Accuracy: 0.1250
Epoch [1/250], Progress: 26/135, Train Loss: 3.9225, Train Accuracy: 0.0625
Epoch [1/250], Progress: 27/135, Train Loss: 4.1132, Train Accuracy: 0.0000
Epoch [1/250], Progress: 28/135, Train Loss: 4.1391, Train Accuracy: 0.0625
Epoch [1/250], Progress: 29/135, Train Loss: 4.1554, Train Accuracy: 0.0000
Epoch [1/250], Progress: 30/135, Train Loss: 4.1878, Train Accuracy: 0.0000
Epoch [1/250], Progress: 31/135, Train Loss: 4.0467, Train Accuracy: 0.1250
