normalization: 0
(35708, 15000, 3)
(5158, 15000, 3)
Cuda available :-  True

device cuda 

*************** New model ***************
num_classes 55
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 use_layernorm =  True pre_layernorm =  False

bs: 16 ss 2048 


Epoch [1/250], Progress: 1/135, Train Loss: 4.1070, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/135, Train Loss: 4.0922, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/135, Train Loss: 4.1390, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/135, Train Loss: 4.0607, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/135, Train Loss: 4.0023, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/135, Train Loss: 3.8796, Train Accuracy: 0.0625
Epoch [1/250], Progress: 7/135, Train Loss: 4.3599, Train Accuracy: 0.0625
Epoch [1/250], Progress: 8/135, Train Loss: 4.3016, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/135, Train Loss: 3.9846, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/135, Train Loss: 4.1752, Train Accuracy: 0.0625
Epoch [1/250], Progress: 11/135, Train Loss: 4.0183, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/135, Train Loss: 4.0963, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/135, Train Loss: 4.3455, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/135, Train Loss: 4.2733, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/135, Train Loss: 4.0929, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/135, Train Loss: 4.1664, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/135, Train Loss: 4.3172, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/135, Train Loss: 4.2543, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/135, Train Loss: 3.9649, Train Accuracy: 0.0000
Epoch [1/250], Progress: 20/135, Train Loss: 4.0937, Train Accuracy: 0.0625
Epoch [1/250], Progress: 21/135, Train Loss: 4.0789, Train Accuracy: 0.0000
Epoch [1/250], Progress: 22/135, Train Loss: 4.2912, Train Accuracy: 0.0000
Epoch [1/250], Progress: 23/135, Train Loss: 4.0125, Train Accuracy: 0.0625
Epoch [1/250], Progress: 24/135, Train Loss: 4.2704, Train Accuracy: 0.0625
Epoch [1/250], Progress: 25/135, Train Loss: 4.1429, Train Accuracy: 0.0000
Epoch [1/250], Progress: 26/135, Train Loss: 4.0301, Train Accuracy: 0.0625
Epoch [1/250], Progress: 27/135, Train Loss: 4.1621, Train Accuracy: 0.0000
Epoch [1/250], Progress: 28/135, Train Loss: 4.1301, Train Accuracy: 0.0000
Epoch [1/250], Progress: 29/135, Train Loss: 4.0133, Train Accuracy: 0.0000
Epoch [1/250], Progress: 30/135, Train Loss: 4.2904, Train Accuracy: 0.0000
Epoch [1/250], Progress: 31/135, Train Loss: 4.1207, Train Accuracy: 0.0000
Epoch [1/250], Progress: 32/135, Train Loss: 4.1697, Train Accuracy: 0.0000
Epoch [1/250], Progress: 33/135, Train Loss: 4.1744, Train Accuracy: 0.0000
Epoch [1/250], Progress: 34/135, Train Loss: 4.1079, Train Accuracy: 0.0000
Epoch [1/250], Progress: 35/135, Train Loss: 4.0792, Train Accuracy: 0.0625
Epoch [1/250], Progress: 36/135, Train Loss: 4.0586, Train Accuracy: 0.0000
Epoch [1/250], Progress: 37/135, Train Loss: 4.0101, Train Accuracy: 0.0625
