normalization: 0 file_list ./partitioned/train_99_balanced_percent_equal.txt

Loading val data:   0%|                                                                                           | 0/55 [00:00<?, ?it/s]
Loading val data:   2%|█▌                                                                                 | 1/55 [00:00<00:38,  1.41it/s]
Loading val data:   9%|███████▌                                                                           | 5/55 [00:00<00:07,  6.44it/s]
Loading val data:  13%|██████████▌                                                                        | 7/55 [00:01<00:07,  6.07it/s]
Loading val data:  18%|██████████████▉                                                                   | 10/55 [00:01<00:05,  8.61it/s]
Loading val data:  22%|█████████████████▉                                                                | 12/55 [00:01<00:04,  9.01it/s]
Loading val data:  25%|████████████████████▊                                                             | 14/55 [00:01<00:04,  8.26it/s]
Loading val data:  31%|█████████████████████████▎                                                        | 17/55 [00:02<00:05,  6.35it/s]
Loading val data:  33%|██████████████████████████▊                                                       | 18/55 [00:02<00:05,  6.42it/s]
Loading val data:  35%|████████████████████████████▎                                                     | 19/55 [00:03<00:12,  2.86it/s]
Loading val data:  36%|█████████████████████████████▊                                                    | 20/55 [00:04<00:10,  3.31it/s]
Loading val data:  42%|██████████████████████████████████▎                                               | 23/55 [00:04<00:06,  5.04it/s]
Loading val data:  45%|█████████████████████████████████████▎                                            | 25/55 [00:04<00:04,  6.29it/s]
Loading val data:  49%|████████████████████████████████████████▎                                         | 27/55 [00:04<00:03,  7.17it/s]
Loading val data:  53%|███████████████████████████████████████████▏                                      | 29/55 [00:04<00:03,  8.47it/s]
Loading val data:  56%|██████████████████████████████████████████████▏                                   | 31/55 [00:05<00:03,  6.49it/s]
Loading val data:  60%|█████████████████████████████████████████████████▏                                | 33/55 [00:05<00:03,  6.17it/s]
Loading val data:  67%|███████████████████████████████████████████████████████▏                          | 37/55 [00:05<00:01, 10.01it/s]
Loading val data:  75%|█████████████████████████████████████████████████████████████▏                    | 41/55 [00:05<00:01, 13.58it/s]
Loading val data:  80%|█████████████████████████████████████████████████████████████████▌                | 44/55 [00:06<00:00, 15.18it/s]
Loading val data:  85%|██████████████████████████████████████████████████████████████████████            | 47/55 [00:06<00:00, 10.80it/s]
Loading val data:  89%|█████████████████████████████████████████████████████████████████████████         | 49/55 [00:07<00:00,  7.12it/s]
Loading val data:  93%|████████████████████████████████████████████████████████████████████████████      | 51/55 [00:08<00:01,  3.41it/s]
Loading val data:  98%|████████████████████████████████████████████████████████████████████████████████▌ | 54/55 [00:09<00:00,  4.11it/s]
Loading val data: 100%|██████████████████████████████████████████████████████████████████████████████████| 55/55 [00:09<00:00,  6.03it/s]
Cuda available :-  True

device cuda 

*************** New model ***************
num_classes 55
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 use_layernorm =  True pre_layernorm =  False

bs: 16 ss 8000 


Epoch [1/250], Progress: 1/114, Train Loss: 4.2093, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/114, Train Loss: 4.1026, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/114, Train Loss: 4.0716, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/114, Train Loss: 3.7613, Train Accuracy: 0.0625
Epoch [1/250], Progress: 5/114, Train Loss: 4.0566, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/114, Train Loss: 4.2160, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/114, Train Loss: 4.4581, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/114, Train Loss: 4.2428, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/114, Train Loss: 4.2758, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/114, Train Loss: 4.1900, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/114, Train Loss: 4.0945, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/114, Train Loss: 3.9929, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/114, Train Loss: 4.3444, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/114, Train Loss: 3.9034, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/114, Train Loss: 4.0963, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/114, Train Loss: 4.2640, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/114, Train Loss: 4.2622, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/114, Train Loss: 3.9005, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/114, Train Loss: 4.2349, Train Accuracy: 0.1250
Epoch [1/250], Progress: 20/114, Train Loss: 4.2141, Train Accuracy: 0.0000
Epoch [1/250], Progress: 21/114, Train Loss: 4.2860, Train Accuracy: 0.0000
Epoch [1/250], Progress: 22/114, Train Loss: 3.9880, Train Accuracy: 0.0000
Epoch [1/250], Progress: 23/114, Train Loss: 4.4472, Train Accuracy: 0.0625
Epoch [1/250], Progress: 24/114, Train Loss: 4.1009, Train Accuracy: 0.0000
Epoch [1/250], Progress: 25/114, Train Loss: 3.9833, Train Accuracy: 0.0000
Epoch [1/250], Progress: 26/114, Train Loss: 4.1376, Train Accuracy: 0.0000
Epoch [1/250], Progress: 27/114, Train Loss: 4.2081, Train Accuracy: 0.0000
Epoch [1/250], Progress: 28/114, Train Loss: 4.2915, Train Accuracy: 0.0000
Epoch [1/250], Progress: 29/114, Train Loss: 3.9613, Train Accuracy: 0.0000
Epoch [1/250], Progress: 30/114, Train Loss: 4.2028, Train Accuracy: 0.0000
Epoch [1/250], Progress: 31/114, Train Loss: 3.9953, Train Accuracy: 0.0625
Epoch [1/250], Progress: 32/114, Train Loss: 4.0182, Train Accuracy: 0.0000
Epoch [1/250], Progress: 33/114, Train Loss: 3.9744, Train Accuracy: 0.0000
Epoch [1/250], Progress: 34/114, Train Loss: 4.0979, Train Accuracy: 0.0000
Epoch [1/250], Progress: 35/114, Train Loss: 4.2295, Train Accuracy: 0.0000
Epoch [1/250], Progress: 36/114, Train Loss: 3.8527, Train Accuracy: 0.0000
Epoch [1/250], Progress: 37/114, Train Loss: 4.2024, Train Accuracy: 0.0000
Epoch [1/250], Progress: 38/114, Train Loss: 4.0730, Train Accuracy: 0.0000
Epoch [1/250], Progress: 39/114, Train Loss: 4.1479, Train Accuracy: 0.0000
Epoch [1/250], Progress: 40/114, Train Loss: 4.1926, Train Accuracy: 0.0000
Epoch [1/250], Progress: 41/114, Train Loss: 4.1610, Train Accuracy: 0.0625
Epoch [1/250], Progress: 42/114, Train Loss: 4.0767, Train Accuracy: 0.0000
Epoch [1/250], Progress: 43/114, Train Loss: 4.0401, Train Accuracy: 0.0000
Epoch [1/250], Progress: 44/114, Train Loss: 4.0310, Train Accuracy: 0.0000
Epoch [1/250], Progress: 45/114, Train Loss: 4.0422, Train Accuracy: 0.0000
Epoch [1/250], Progress: 46/114, Train Loss: 4.1050, Train Accuracy: 0.0000
Epoch [1/250], Progress: 47/114, Train Loss: 4.1565, Train Accuracy: 0.0000
Epoch [1/250], Progress: 48/114, Train Loss: 4.2157, Train Accuracy: 0.0000
Epoch [1/250], Progress: 49/114, Train Loss: 4.0684, Train Accuracy: 0.0625
Epoch [1/250], Progress: 50/114, Train Loss: 4.1568, Train Accuracy: 0.0000
Epoch [1/250], Progress: 51/114, Train Loss: 4.0848, Train Accuracy: 0.0000
Epoch [1/250], Progress: 52/114, Train Loss: 4.0733, Train Accuracy: 0.0000
Epoch [1/250], Progress: 53/114, Train Loss: 4.0419, Train Accuracy: 0.0000
Epoch [1/250], Progress: 54/114, Train Loss: 4.0213, Train Accuracy: 0.0000
Epoch [1/250], Progress: 55/114, Train Loss: 3.9462, Train Accuracy: 0.0625
Epoch [1/250], Progress: 56/114, Train Loss: 4.0353, Train Accuracy: 0.0625
Epoch [1/250], Progress: 57/114, Train Loss: 3.9743, Train Accuracy: 0.0000
