normalization: 0 file_list ./partitioned/train_99_balanced_percent_equal.txt

Loading val data:   0%|                                                                                      | 0/55 [00:00<?, ?it/s]
Loading val data:   2%|█▍                                                                            | 1/55 [00:01<00:55,  1.02s/it]
Loading val data:   5%|████▎                                                                         | 3/55 [00:01<00:15,  3.29it/s]
Loading val data:   9%|███████                                                                       | 5/55 [00:01<00:10,  4.74it/s]
Loading val data:  13%|█████████▉                                                                    | 7/55 [00:01<00:11,  4.31it/s]
Loading val data:  16%|████████████▊                                                                 | 9/55 [00:02<00:07,  5.82it/s]
Loading val data:  18%|██████████████                                                               | 10/55 [00:02<00:07,  6.29it/s]
Loading val data:  22%|████████████████▊                                                            | 12/55 [00:02<00:06,  6.50it/s]
Loading val data:  24%|██████████████████▏                                                          | 13/55 [00:02<00:08,  4.95it/s]
Loading val data:  31%|███████████████████████▊                                                     | 17/55 [00:03<00:08,  4.48it/s]
Loading val data:  33%|█████████████████████████▏                                                   | 18/55 [00:03<00:08,  4.53it/s]
Loading val data:  35%|██████████████████████████▌                                                  | 19/55 [00:05<00:18,  1.99it/s]
Loading val data:  36%|████████████████████████████                                                 | 20/55 [00:05<00:15,  2.32it/s]
Loading val data:  42%|████████████████████████████████▏                                            | 23/55 [00:06<00:08,  3.62it/s]
Loading val data:  45%|███████████████████████████████████                                          | 25/55 [00:06<00:06,  4.49it/s]
Loading val data:  49%|█████████████████████████████████████▊                                       | 27/55 [00:06<00:05,  5.08it/s]
Loading val data:  53%|████████████████████████████████████████▌                                    | 29/55 [00:06<00:04,  5.98it/s]
Loading val data:  55%|██████████████████████████████████████████                                   | 30/55 [00:06<00:03,  6.38it/s]
Loading val data:  56%|███████████████████████████████████████████▍                                 | 31/55 [00:07<00:05,  4.08it/s]
Loading val data:  58%|████████████████████████████████████████████▊                                | 32/55 [00:07<00:04,  4.63it/s]
Loading val data:  60%|██████████████████████████████████████████████▏                              | 33/55 [00:08<00:05,  3.81it/s]
Loading val data:  67%|███████████████████████████████████████████████████▊                         | 37/55 [00:08<00:02,  7.45it/s]
Loading val data:  71%|██████████████████████████████████████████████████████▌                      | 39/55 [00:08<00:01,  8.94it/s]
Loading val data:  76%|██████████████████████████████████████████████████████████▊                  | 42/55 [00:08<00:01, 10.03it/s]
Loading val data:  82%|███████████████████████████████████████████████████████████████              | 45/55 [00:09<00:01,  6.98it/s]
Loading val data:  87%|███████████████████████████████████████████████████████████████████▏         | 48/55 [00:10<00:01,  5.04it/s]
Loading val data:  91%|██████████████████████████████████████████████████████████████████████       | 50/55 [00:12<00:02,  2.36it/s]
Loading val data:  96%|██████████████████████████████████████████████████████████████████████████▏  | 53/55 [00:12<00:00,  3.33it/s]
Loading val data:  98%|███████████████████████████████████████████████████████████████████████████▌ | 54/55 [00:13<00:00,  3.06it/s]
Loading val data: 100%|█████████████████████████████████████████████████████████████████████████████| 55/55 [00:13<00:00,  4.17it/s]
Cuda available :-  True

device cuda 

*************** New model ***************
num_classes 55
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 use_layernorm =  True pre_layernorm =  False

bs: 16 ss 8000 


Epoch [1/250], Progress: 1/114, Train Loss: 4.0507, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/114, Train Loss: 3.8434, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/114, Train Loss: 4.3107, Train Accuracy: 0.0625
Epoch [1/250], Progress: 4/114, Train Loss: 4.2327, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/114, Train Loss: 4.2404, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/114, Train Loss: 4.0185, Train Accuracy: 0.1250
Epoch [1/250], Progress: 7/114, Train Loss: 4.2362, Train Accuracy: 0.0625
Epoch [1/250], Progress: 8/114, Train Loss: 4.1490, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/114, Train Loss: 4.1089, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/114, Train Loss: 4.3323, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/114, Train Loss: 4.1307, Train Accuracy: 0.0625
Epoch [1/250], Progress: 12/114, Train Loss: 4.2289, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/114, Train Loss: 4.0927, Train Accuracy: 0.1250
Epoch [1/250], Progress: 14/114, Train Loss: 4.0903, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/114, Train Loss: 4.2482, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/114, Train Loss: 4.0931, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/114, Train Loss: 4.1456, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/114, Train Loss: 4.2716, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/114, Train Loss: 4.1695, Train Accuracy: 0.0000
Epoch [1/250], Progress: 20/114, Train Loss: 4.3603, Train Accuracy: 0.0000
Epoch [1/250], Progress: 21/114, Train Loss: 4.1570, Train Accuracy: 0.0000
Epoch [1/250], Progress: 22/114, Train Loss: 3.8611, Train Accuracy: 0.0625
Epoch [1/250], Progress: 23/114, Train Loss: 4.1015, Train Accuracy: 0.0000
Epoch [1/250], Progress: 24/114, Train Loss: 4.1395, Train Accuracy: 0.0000
Epoch [1/250], Progress: 25/114, Train Loss: 4.0415, Train Accuracy: 0.0000
Epoch [1/250], Progress: 26/114, Train Loss: 3.9911, Train Accuracy: 0.0000
Epoch [1/250], Progress: 27/114, Train Loss: 3.9374, Train Accuracy: 0.0000
Epoch [1/250], Progress: 28/114, Train Loss: 4.0135, Train Accuracy: 0.0000
Epoch [1/250], Progress: 29/114, Train Loss: 4.0245, Train Accuracy: 0.0625
Epoch [1/250], Progress: 30/114, Train Loss: 4.0938, Train Accuracy: 0.0000
Epoch [1/250], Progress: 31/114, Train Loss: 4.1181, Train Accuracy: 0.0000
Epoch [1/250], Progress: 32/114, Train Loss: 4.0210, Train Accuracy: 0.0000
Epoch [1/250], Progress: 33/114, Train Loss: 4.1396, Train Accuracy: 0.0000
Epoch [1/250], Progress: 34/114, Train Loss: 4.1272, Train Accuracy: 0.0625
Epoch [1/250], Progress: 35/114, Train Loss: 3.9522, Train Accuracy: 0.0625
Epoch [1/250], Progress: 36/114, Train Loss: 4.1115, Train Accuracy: 0.0625
Epoch [1/250], Progress: 37/114, Train Loss: 4.0193, Train Accuracy: 0.0000
Epoch [1/250], Progress: 38/114, Train Loss: 4.0999, Train Accuracy: 0.0000
Epoch [1/250], Progress: 39/114, Train Loss: 3.9654, Train Accuracy: 0.0000
Epoch [1/250], Progress: 40/114, Train Loss: 4.0199, Train Accuracy: 0.0625
Epoch [1/250], Progress: 41/114, Train Loss: 4.0647, Train Accuracy: 0.0000
Epoch [1/250], Progress: 42/114, Train Loss: 4.1588, Train Accuracy: 0.0000
Epoch [1/250], Progress: 43/114, Train Loss: 4.0462, Train Accuracy: 0.0000
Epoch [1/250], Progress: 44/114, Train Loss: 4.1723, Train Accuracy: 0.0000
Epoch [1/250], Progress: 45/114, Train Loss: 4.0584, Train Accuracy: 0.0000
Epoch [1/250], Progress: 46/114, Train Loss: 4.1014, Train Accuracy: 0.0000
Epoch [1/250], Progress: 47/114, Train Loss: 4.1338, Train Accuracy: 0.0000
Epoch [1/250], Progress: 48/114, Train Loss: 4.0649, Train Accuracy: 0.1250
Epoch [1/250], Progress: 49/114, Train Loss: 4.1189, Train Accuracy: 0.0625
Epoch [1/250], Progress: 50/114, Train Loss: 4.1740, Train Accuracy: 0.0000
Epoch [1/250], Progress: 51/114, Train Loss: 4.1991, Train Accuracy: 0.0000
Epoch [1/250], Progress: 52/114, Train Loss: 4.0703, Train Accuracy: 0.0000
Epoch [1/250], Progress: 53/114, Train Loss: 4.1446, Train Accuracy: 0.0000
Epoch [1/250], Progress: 54/114, Train Loss: 4.1369, Train Accuracy: 0.0625
Epoch [1/250], Progress: 55/114, Train Loss: 4.1361, Train Accuracy: 0.0000
Epoch [1/250], Progress: 56/114, Train Loss: 4.2286, Train Accuracy: 0.0000
Epoch [1/250], Progress: 57/114, Train Loss: 4.1859, Train Accuracy: 0.0000
Epoch [1/250], Progress: 58/114, Train Loss: 4.0595, Train Accuracy: 0.0625
Epoch [1/250], Progress: 59/114, Train Loss: 4.1013, Train Accuracy: 0.0000
Epoch [1/250], Progress: 60/114, Train Loss: 4.0789, Train Accuracy: 0.0000
Epoch [1/250], Progress: 61/114, Train Loss: 4.0756, Train Accuracy: 0.0000
Epoch [1/250], Progress: 62/114, Train Loss: 4.0324, Train Accuracy: 0.0000
Epoch [1/250], Progress: 63/114, Train Loss: 4.1341, Train Accuracy: 0.0000
Epoch [1/250], Progress: 64/114, Train Loss: 4.2317, Train Accuracy: 0.0000
Epoch [1/250], Progress: 65/114, Train Loss: 4.1822, Train Accuracy: 0.0000
Epoch [1/250], Progress: 66/114, Train Loss: 4.1445, Train Accuracy: 0.0000
Epoch [1/250], Progress: 67/114, Train Loss: 4.0690, Train Accuracy: 0.0000
Epoch [1/250], Progress: 68/114, Train Loss: 4.1579, Train Accuracy: 0.0625
Epoch [1/250], Progress: 69/114, Train Loss: 4.0973, Train Accuracy: 0.0000
Epoch [1/250], Progress: 70/114, Train Loss: 3.9699, Train Accuracy: 0.0625
Epoch [1/250], Progress: 71/114, Train Loss: 4.0559, Train Accuracy: 0.0000
Epoch [1/250], Progress: 72/114, Train Loss: 4.0734, Train Accuracy: 0.0000
Epoch [1/250], Progress: 73/114, Train Loss: 4.0696, Train Accuracy: 0.0625
Epoch [1/250], Progress: 74/114, Train Loss: 4.0807, Train Accuracy: 0.0000
Epoch [1/250], Progress: 75/114, Train Loss: 4.0517, Train Accuracy: 0.0000
Epoch [1/250], Progress: 76/114, Train Loss: 4.1268, Train Accuracy: 0.0000
Epoch [1/250], Progress: 77/114, Train Loss: 4.1076, Train Accuracy: 0.0000
Epoch [1/250], Progress: 78/114, Train Loss: 4.0073, Train Accuracy: 0.0625
Epoch [1/250], Progress: 79/114, Train Loss: 4.0053, Train Accuracy: 0.0000
Epoch [1/250], Progress: 80/114, Train Loss: 4.0815, Train Accuracy: 0.0000
Epoch [1/250], Progress: 81/114, Train Loss: 3.9700, Train Accuracy: 0.0000
Epoch [1/250], Progress: 82/114, Train Loss: 4.0507, Train Accuracy: 0.0000
Epoch [1/250], Progress: 83/114, Train Loss: 4.0150, Train Accuracy: 0.0000
Epoch [1/250], Progress: 84/114, Train Loss: 3.9832, Train Accuracy: 0.0000
Epoch [1/250], Progress: 85/114, Train Loss: 4.0388, Train Accuracy: 0.0000
Epoch [1/250], Progress: 86/114, Train Loss: 4.0646, Train Accuracy: 0.0000
Epoch [1/250], Progress: 87/114, Train Loss: 4.0437, Train Accuracy: 0.0000
Epoch [1/250], Progress: 88/114, Train Loss: 4.1572, Train Accuracy: 0.0625
Epoch [1/250], Progress: 89/114, Train Loss: 3.9918, Train Accuracy: 0.0000
Epoch [1/250], Progress: 90/114, Train Loss: 3.9833, Train Accuracy: 0.0625
Epoch [1/250], Progress: 91/114, Train Loss: 4.0104, Train Accuracy: 0.0625
Epoch [1/250], Progress: 92/114, Train Loss: 4.1057, Train Accuracy: 0.0000
Epoch [1/250], Progress: 93/114, Train Loss: 4.0807, Train Accuracy: 0.0000
Epoch [1/250], Progress: 94/114, Train Loss: 3.9814, Train Accuracy: 0.0625
Epoch [1/250], Progress: 95/114, Train Loss: 4.0692, Train Accuracy: 0.0000
Epoch [1/250], Progress: 96/114, Train Loss: 4.0374, Train Accuracy: 0.0000
Epoch [1/250], Progress: 97/114, Train Loss: 4.1085, Train Accuracy: 0.0000
Epoch [1/250], Progress: 98/114, Train Loss: 4.0904, Train Accuracy: 0.0000
Epoch [1/250], Progress: 99/114, Train Loss: 4.1721, Train Accuracy: 0.0000
