normalization: 0 file_list ./partitioned/train_99_balanced_percent_equal.txt

Loading val data:   0%|                                                                                                                                                             | 0/55 [00:00<?, ?it/s]
Loading val data:   2%|██▋                                                                                                                                                  | 1/55 [00:00<00:36,  1.47it/s]
Loading val data:   9%|█████████████▌                                                                                                                                       | 5/55 [00:00<00:07,  6.47it/s]
Loading val data:  13%|██████████████████▉                                                                                                                                  | 7/55 [00:01<00:07,  6.04it/s]
Loading val data:  18%|██████████████████████████▉                                                                                                                         | 10/55 [00:01<00:05,  8.62it/s]
Loading val data:  22%|████████████████████████████████▎                                                                                                                   | 12/55 [00:01<00:04,  9.07it/s]
Loading val data:  25%|█████████████████████████████████████▋                                                                                                              | 14/55 [00:01<00:04,  8.53it/s]
Loading val data:  31%|█████████████████████████████████████████████▋                                                                                                      | 17/55 [00:02<00:06,  6.29it/s]
Loading val data:  33%|████████████████████████████████████████████████▍                                                                                                   | 18/55 [00:02<00:05,  6.37it/s]
Loading val data:  35%|███████████████████████████████████████████████████▏                                                                                                | 19/55 [00:03<00:12,  2.84it/s]
Loading val data:  36%|█████████████████████████████████████████████████████▊                                                                                              | 20/55 [00:04<00:10,  3.29it/s]
Loading val data:  42%|█████████████████████████████████████████████████████████████▉                                                                                      | 23/55 [00:04<00:06,  5.07it/s]
Loading val data:  45%|███████████████████████████████████████████████████████████████████▎                                                                                | 25/55 [00:04<00:04,  6.28it/s]
Loading val data:  49%|████████████████████████████████████████████████████████████████████████▋                                                                           | 27/55 [00:04<00:03,  7.12it/s]
Loading val data:  53%|██████████████████████████████████████████████████████████████████████████████                                                                      | 29/55 [00:04<00:03,  8.40it/s]
Loading val data:  56%|███████████████████████████████████████████████████████████████████████████████████▍                                                                | 31/55 [00:05<00:03,  6.43it/s]
Loading val data:  60%|████████████████████████████████████████████████████████████████████████████████████████▊                                                           | 33/55 [00:05<00:03,  6.25it/s]
Loading val data:  67%|███████████████████████████████████████████████████████████████████████████████████████████████████▌                                                | 37/55 [00:05<00:01, 10.12it/s]
Loading val data:  75%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████▎                                     | 41/55 [00:05<00:01, 13.61it/s]
Loading val data:  80%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▍                             | 44/55 [00:06<00:00, 15.09it/s]
Loading val data:  85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▍                     | 47/55 [00:06<00:00, 10.42it/s]
Loading val data:  89%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▊                | 49/55 [00:07<00:00,  6.83it/s]
Loading val data:  93%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▏          | 51/55 [00:08<00:01,  3.36it/s]
Loading val data:  98%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎  | 54/55 [00:09<00:00,  4.06it/s]
Loading val data: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 55/55 [00:09<00:00,  5.99it/s]
Cuda available :-  True

device cuda 

*************** New model ***************
num_classes 55
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 use_layernorm =  True pre_layernorm =  False

bs: 32 ss 8000 


Epoch [1/250], Progress: 1/57, Train Loss: 4.3474, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/57, Train Loss: 3.9563, Train Accuracy: 0.0625
Epoch [1/250], Progress: 3/57, Train Loss: 4.2115, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/57, Train Loss: 4.2417, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/57, Train Loss: 4.1306, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/57, Train Loss: 4.2640, Train Accuracy: 0.0312
Epoch [1/250], Progress: 7/57, Train Loss: 4.1974, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/57, Train Loss: 4.1153, Train Accuracy: 0.0312
Epoch [1/250], Progress: 9/57, Train Loss: 3.9588, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/57, Train Loss: 3.9527, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/57, Train Loss: 3.9810, Train Accuracy: 0.0625
Epoch [1/250], Progress: 12/57, Train Loss: 4.0322, Train Accuracy: 0.0312
Epoch [1/250], Progress: 13/57, Train Loss: 4.0298, Train Accuracy: 0.0312
Epoch [1/250], Progress: 14/57, Train Loss: 4.0213, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/57, Train Loss: 4.0215, Train Accuracy: 0.0312
Epoch [1/250], Progress: 16/57, Train Loss: 4.2585, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/57, Train Loss: 4.0054, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/57, Train Loss: 4.0499, Train Accuracy: 0.0312
Epoch [1/250], Progress: 19/57, Train Loss: 4.1711, Train Accuracy: 0.0000
Epoch [1/250], Progress: 20/57, Train Loss: 4.1138, Train Accuracy: 0.0312
Epoch [1/250], Progress: 21/57, Train Loss: 4.0814, Train Accuracy: 0.0312
Epoch [1/250], Progress: 22/57, Train Loss: 4.0016, Train Accuracy: 0.0312
Epoch [1/250], Progress: 23/57, Train Loss: 4.2464, Train Accuracy: 0.0000
Epoch [1/250], Progress: 24/57, Train Loss: 4.0734, Train Accuracy: 0.0000
Epoch [1/250], Progress: 25/57, Train Loss: 4.0691, Train Accuracy: 0.0000
Epoch [1/250], Progress: 26/57, Train Loss: 4.2069, Train Accuracy: 0.0000
Epoch [1/250], Progress: 27/57, Train Loss: 4.0193, Train Accuracy: 0.0625
Epoch [1/250], Progress: 28/57, Train Loss: 4.1342, Train Accuracy: 0.0000
Epoch [1/250], Progress: 29/57, Train Loss: 4.0853, Train Accuracy: 0.0000
Epoch [1/250], Progress: 30/57, Train Loss: 4.0227, Train Accuracy: 0.0000
Epoch [1/250], Progress: 31/57, Train Loss: 4.1129, Train Accuracy: 0.0000
Epoch [1/250], Progress: 32/57, Train Loss: 4.1401, Train Accuracy: 0.0000
Epoch [1/250], Progress: 33/57, Train Loss: 3.9955, Train Accuracy: 0.0625
Epoch [1/250], Progress: 34/57, Train Loss: 4.0350, Train Accuracy: 0.0000
Epoch [1/250], Progress: 35/57, Train Loss: 4.1118, Train Accuracy: 0.0312
Epoch [1/250], Progress: 36/57, Train Loss: 4.0822, Train Accuracy: 0.0312
Epoch [1/250], Progress: 37/57, Train Loss: 4.1974, Train Accuracy: 0.0625
Epoch [1/250], Progress: 38/57, Train Loss: 4.0898, Train Accuracy: 0.0312
Epoch [1/250], Progress: 39/57, Train Loss: 4.0897, Train Accuracy: 0.0000
Epoch [1/250], Progress: 40/57, Train Loss: 4.0462, Train Accuracy: 0.0312
Epoch [1/250], Progress: 41/57, Train Loss: 4.0615, Train Accuracy: 0.0312
Epoch [1/250], Progress: 42/57, Train Loss: 3.9884, Train Accuracy: 0.0000
Epoch [1/250], Progress: 43/57, Train Loss: 4.0714, Train Accuracy: 0.0312
Epoch [1/250], Progress: 44/57, Train Loss: 4.0401, Train Accuracy: 0.0000
Epoch [1/250], Progress: 45/57, Train Loss: 4.0716, Train Accuracy: 0.0312
Epoch [1/250], Progress: 46/57, Train Loss: 4.0332, Train Accuracy: 0.0000
Epoch [1/250], Progress: 47/57, Train Loss: 4.0093, Train Accuracy: 0.0625
Epoch [1/250], Progress: 48/57, Train Loss: 3.9939, Train Accuracy: 0.0000
Epoch [1/250], Progress: 49/57, Train Loss: 4.0711, Train Accuracy: 0.0000
Epoch [1/250], Progress: 50/57, Train Loss: 3.9906, Train Accuracy: 0.0312
Epoch [1/250], Progress: 51/57, Train Loss: 4.0392, Train Accuracy: 0.0000
Epoch [1/250], Progress: 52/57, Train Loss: 4.0502, Train Accuracy: 0.0000
Epoch [1/250], Progress: 53/57, Train Loss: 4.0836, Train Accuracy: 0.0000
Epoch [1/250], Progress: 54/57, Train Loss: 4.0432, Train Accuracy: 0.0000
Epoch [1/250], Progress: 55/57, Train Loss: 3.9989, Train Accuracy: 0.0312
Epoch [1/250], Progress: 56/57, Train Loss: 4.0478, Train Accuracy: 0.0000
Epoch [1/250], Progress: 57/57, Train Loss: 4.0933, Train Accuracy: 0.0435
Epoch [1/250], Progress: 1/5, Val Accuracy: 0.0312
Epoch [1/250], Progress: 2/5, Val Accuracy: 0.0000
Epoch [1/250], Progress: 3/5, Val Accuracy: 0.0312
Epoch [1/250], Progress: 4/5, Val Accuracy: 0.0312
Epoch [1/250], Progress: 5/5, Val Accuracy: 0.0000
 Epoch [1/250], Train Loss: 4.0805, Train Accuracy: 0.0171, Train F1: 0.0091, Validation Loss: 4.0128,Validation Accuracy: 0.0218, Val F1: 0.0021

