normalization: 0 file_list ./partitioned/train_99_balanced_percent_equal.txt
{'04530566': 53, '02843684': 7, '04225987': 46, '03642806': 31, '02876657': 9, '03991062': 41, '03001627': 18, '04099429': 45, '04379243': 49, '02871439': 8, '04468005': 52, '03261776': 23, '02992529': 17, '04074963': 43, '03624134': 29, '03636649': 30, '04460130': 51, '02954340': 15, '03797390': 37, '02773838': 2, '02801938': 3, '02924116': 11, '02818832': 5, '04256520': 47, '03325088': 24, '03337140': 25, '03928116': 38, '02808440': 4, '03085013': 20, '03710193': 33, '03593526': 28, '03211117': 22, '03759954': 34, '03207941': 21, '02747177': 1, '03790512': 36, '03691459': 32, '02828884': 6, '02691156': 0, '03938244': 39, '04004475': 42, '03761084': 35, '02880940': 10, '04554684': 54, '03513137': 27, '03467517': 26, '02958343': 16, '03948459': 40, '02946921': 14, '02933112': 12, '04330267': 48, '04401088': 50, '03046257': 19, '04090263': 44, '02942699': 13}

Loading val data:   0%|                                                                                                        | 0/55 [00:00<?, ?it/s]
Loading val data:   2%|█▋                                                                                              | 1/55 [00:00<00:37,  1.44it/s]
Loading val data:   9%|████████▋                                                                                       | 5/55 [00:00<00:07,  6.52it/s]
Loading val data:  13%|████████████▏                                                                                   | 7/55 [00:01<00:07,  6.27it/s]
Loading val data:  18%|█████████████████▎                                                                             | 10/55 [00:01<00:05,  8.80it/s]
Loading val data:  22%|████████████████████▋                                                                          | 12/55 [00:01<00:04,  9.42it/s]
Loading val data:  25%|████████████████████████▏                                                                      | 14/55 [00:01<00:04,  8.49it/s]
Loading val data:  31%|█████████████████████████████▎                                                                 | 17/55 [00:02<00:05,  6.44it/s]
Loading val data:  33%|███████████████████████████████                                                                | 18/55 [00:02<00:05,  6.54it/s]
Loading val data:  35%|████████████████████████████████▊                                                              | 19/55 [00:03<00:12,  2.97it/s]
Loading val data:  36%|██████████████████████████████████▌                                                            | 20/55 [00:03<00:10,  3.45it/s]
Loading val data:  42%|███████████████████████████████████████▋                                                       | 23/55 [00:04<00:05,  5.35it/s]
Loading val data:  45%|███████████████████████████████████████████▏                                                   | 25/55 [00:04<00:04,  6.67it/s]
Loading val data:  49%|██████████████████████████████████████████████▋                                                | 27/55 [00:04<00:03,  7.55it/s]
Loading val data:  53%|██████████████████████████████████████████████████                                             | 29/55 [00:04<00:02,  8.93it/s]
Loading val data:  56%|█████████████████████████████████████████████████████▌                                         | 31/55 [00:05<00:03,  6.65it/s]
Loading val data:  60%|█████████████████████████████████████████████████████████                                      | 33/55 [00:05<00:03,  6.48it/s]
Loading val data:  67%|███████████████████████████████████████████████████████████████▉                               | 37/55 [00:05<00:01, 10.52it/s]
Loading val data:  75%|██████████████████████████████████████████████████████████████████████▊                        | 41/55 [00:05<00:00, 14.16it/s]
Loading val data:  80%|████████████████████████████████████████████████████████████████████████████                   | 44/55 [00:05<00:00, 15.81it/s]
Loading val data:  85%|█████████████████████████████████████████████████████████████████████████████████▏             | 47/55 [00:06<00:00, 11.31it/s]
Loading val data:  89%|████████████████████████████████████████████████████████████████████████████████████▋          | 49/55 [00:06<00:00,  7.48it/s]
Loading val data:  93%|████████████████████████████████████████████████████████████████████████████████████████       | 51/55 [00:08<00:01,  3.60it/s]
Loading val data:  98%|█████████████████████████████████████████████████████████████████████████████████████████████▎ | 54/55 [00:08<00:00,  4.33it/s]
Loading val data: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 55/55 [00:08<00:00,  6.29it/s]
{'02691156': 0, '02747177': 1, '02773838': 2, '02801938': 3, '02808440': 4, '02818832': 5, '02828884': 6, '02843684': 7, '02871439': 8, '02876657': 9, '02880940': 10, '02924116': 11, '02933112': 12, '02942699': 13, '02946921': 14, '02954340': 15, '02958343': 16, '02992529': 17, '03001627': 18, '03046257': 19, '03085013': 20, '03207941': 21, '03211117': 22, '03261776': 23, '03325088': 24, '03337140': 25, '03467517': 26, '03513137': 27, '03593526': 28, '03624134': 29, '03636649': 30, '03642806': 31, '03691459': 32, '03710193': 33, '03759954': 34, '03761084': 35, '03790512': 36, '03797390': 37, '03928116': 38, '03938244': 39, '03948459': 40, '03991062': 41, '04004475': 42, '04074963': 43, '04090263': 44, '04099429': 45, '04225987': 46, '04256520': 47, '04330267': 48, '04379243': 49, '04401088': 50, '04460130': 51, '04468005': 52, '04530566': 53, '04554684': 54}
(74, 15000, 3)
[ 2  7 15 20 21 23 33 34 43 45]
Cuda available :-  True

device cuda 

*************** New model ***************
num_classes 55
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 use_layernorm =  True pre_layernorm =  False

bs: 32 ss 8000 


Epoch [1/250], Progress: 1/57, Train Loss: 4.3056, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/57, Train Loss: 4.2085, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/57, Train Loss: 4.0223, Train Accuracy: 0.0312
Epoch [1/250], Progress: 4/57, Train Loss: 4.2061, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/57, Train Loss: 4.0993, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/57, Train Loss: 4.1104, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/57, Train Loss: 4.2543, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/57, Train Loss: 4.0763, Train Accuracy: 0.0312
Epoch [1/250], Progress: 9/57, Train Loss: 4.0545, Train Accuracy: 0.0312
Epoch [1/250], Progress: 10/57, Train Loss: 3.9478, Train Accuracy: 0.0625
Epoch [1/250], Progress: 11/57, Train Loss: 4.1231, Train Accuracy: 0.0312
Epoch [1/250], Progress: 12/57, Train Loss: 4.0828, Train Accuracy: 0.0312
Epoch [1/250], Progress: 13/57, Train Loss: 4.1308, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/57, Train Loss: 4.0477, Train Accuracy: 0.0625
Epoch [1/250], Progress: 15/57, Train Loss: 4.0156, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/57, Train Loss: 4.1306, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/57, Train Loss: 4.1514, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/57, Train Loss: 4.1176, Train Accuracy: 0.0312
Epoch [1/250], Progress: 19/57, Train Loss: 4.0980, Train Accuracy: 0.0312
Epoch [1/250], Progress: 20/57, Train Loss: 4.1121, Train Accuracy: 0.0000
Epoch [1/250], Progress: 21/57, Train Loss: 4.1825, Train Accuracy: 0.0000
Epoch [1/250], Progress: 22/57, Train Loss: 3.9779, Train Accuracy: 0.0000
Epoch [1/250], Progress: 23/57, Train Loss: 3.9851, Train Accuracy: 0.0000
Epoch [1/250], Progress: 24/57, Train Loss: 4.1556, Train Accuracy: 0.0000
Epoch [1/250], Progress: 25/57, Train Loss: 4.0803, Train Accuracy: 0.0312
Epoch [1/250], Progress: 26/57, Train Loss: 4.0746, Train Accuracy: 0.0000
Epoch [1/250], Progress: 27/57, Train Loss: 4.0570, Train Accuracy: 0.0000
Epoch [1/250], Progress: 28/57, Train Loss: 4.1476, Train Accuracy: 0.0000
Epoch [1/250], Progress: 29/57, Train Loss: 4.0267, Train Accuracy: 0.0312
Epoch [1/250], Progress: 30/57, Train Loss: 3.9964, Train Accuracy: 0.0000
Epoch [1/250], Progress: 31/57, Train Loss: 4.0349, Train Accuracy: 0.0312
Epoch [1/250], Progress: 32/57, Train Loss: 4.0421, Train Accuracy: 0.0000
Epoch [1/250], Progress: 33/57, Train Loss: 4.0158, Train Accuracy: 0.0000
Epoch [1/250], Progress: 34/57, Train Loss: 3.9737, Train Accuracy: 0.0625
Epoch [1/250], Progress: 35/57, Train Loss: 4.0619, Train Accuracy: 0.0000
Epoch [1/250], Progress: 36/57, Train Loss: 3.9839, Train Accuracy: 0.0312
Epoch [1/250], Progress: 37/57, Train Loss: 4.1585, Train Accuracy: 0.0000
Epoch [1/250], Progress: 38/57, Train Loss: 4.0896, Train Accuracy: 0.0625
Epoch [1/250], Progress: 39/57, Train Loss: 4.0665, Train Accuracy: 0.0312
Epoch [1/250], Progress: 40/57, Train Loss: 4.0042, Train Accuracy: 0.0312
Epoch [1/250], Progress: 41/57, Train Loss: 4.0564, Train Accuracy: 0.0000
Epoch [1/250], Progress: 42/57, Train Loss: 4.0728, Train Accuracy: 0.0312
Epoch [1/250], Progress: 43/57, Train Loss: 4.0676, Train Accuracy: 0.0000
Epoch [1/250], Progress: 44/57, Train Loss: 4.0074, Train Accuracy: 0.0000
Epoch [1/250], Progress: 45/57, Train Loss: 4.0461, Train Accuracy: 0.0312
Epoch [1/250], Progress: 46/57, Train Loss: 4.1441, Train Accuracy: 0.0000
Epoch [1/250], Progress: 47/57, Train Loss: 4.1295, Train Accuracy: 0.0000
Epoch [1/250], Progress: 48/57, Train Loss: 4.0208, Train Accuracy: 0.0312
Epoch [1/250], Progress: 49/57, Train Loss: 4.0680, Train Accuracy: 0.0000
Epoch [1/250], Progress: 50/57, Train Loss: 4.1056, Train Accuracy: 0.0312
Epoch [1/250], Progress: 51/57, Train Loss: 4.0085, Train Accuracy: 0.0312
Epoch [1/250], Progress: 52/57, Train Loss: 4.0023, Train Accuracy: 0.0625
Epoch [1/250], Progress: 53/57, Train Loss: 4.0568, Train Accuracy: 0.0000
Epoch [1/250], Progress: 54/57, Train Loss: 3.9792, Train Accuracy: 0.0312
Epoch [1/250], Progress: 55/57, Train Loss: 4.0361, Train Accuracy: 0.0000
Epoch [1/250], Progress: 56/57, Train Loss: 4.0273, Train Accuracy: 0.0625
Epoch [1/250], Progress: 57/57, Train Loss: 4.0196, Train Accuracy: 0.0000
Epoch [1/250], Progress: 1/2, Val Accuracy: 0.0000
Epoch [1/250], Progress: 2/2, Val Accuracy: 0.0000
 Epoch [1/250], Train Loss: 4.0747, Train Accuracy: 0.0171, Train F1: 0.0102, Validation Loss: 3.9572,Validation Accuracy: 0.0000, Val F1: 0.0000

Epoch [2/250], Progress: 1/57, Train Loss: 4.0626, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/57, Train Loss: 4.0425, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/57, Train Loss: 3.9960, Train Accuracy: 0.0312
Epoch [2/250], Progress: 4/57, Train Loss: 4.0496, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/57, Train Loss: 3.9944, Train Accuracy: 0.0312
Epoch [2/250], Progress: 6/57, Train Loss: 3.9209, Train Accuracy: 0.0312
Epoch [2/250], Progress: 7/57, Train Loss: 3.9887, Train Accuracy: 0.0312
Epoch [2/250], Progress: 8/57, Train Loss: 4.0616, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/57, Train Loss: 3.9902, Train Accuracy: 0.0312
Epoch [2/250], Progress: 10/57, Train Loss: 3.9397, Train Accuracy: 0.0312
Epoch [2/250], Progress: 11/57, Train Loss: 4.0152, Train Accuracy: 0.0312
Epoch [2/250], Progress: 12/57, Train Loss: 4.0334, Train Accuracy: 0.0312
Epoch [2/250], Progress: 13/57, Train Loss: 3.9663, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/57, Train Loss: 3.9545, Train Accuracy: 0.0312
Epoch [2/250], Progress: 15/57, Train Loss: 4.0924, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/57, Train Loss: 4.0044, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/57, Train Loss: 4.0644, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/57, Train Loss: 3.9995, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/57, Train Loss: 4.0141, Train Accuracy: 0.0312
Epoch [2/250], Progress: 20/57, Train Loss: 4.0048, Train Accuracy: 0.0000
Epoch [2/250], Progress: 21/57, Train Loss: 3.9374, Train Accuracy: 0.0625
Epoch [2/250], Progress: 22/57, Train Loss: 3.9679, Train Accuracy: 0.0312
Epoch [2/250], Progress: 23/57, Train Loss: 3.8980, Train Accuracy: 0.0938
Epoch [2/250], Progress: 24/57, Train Loss: 4.0729, Train Accuracy: 0.0312
Epoch [2/250], Progress: 25/57, Train Loss: 4.0524, Train Accuracy: 0.0000
Epoch [2/250], Progress: 26/57, Train Loss: 4.0798, Train Accuracy: 0.0000
Epoch [2/250], Progress: 27/57, Train Loss: 4.0880, Train Accuracy: 0.0000
