0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0.9996418952941895,2.868722252210249e-17,1.3690388885056695e-25,1.7868356533973229e-12,5.0262181569560305e-12,1.2255273240668885e-08,1.8381159613402015e-32,1.5974031839505187e-06,5.535191513763104e-20,9.904246040067791e-26,2.3085641544074667e-20,1.8582154586756217e-14,1.5563108135552284e-08,2.80570471117542e-30,2.4379021021944234e-35,3.212341002534018e-23,4.640775462789288e-16,3.0661253319757826e-16,2.742287779751084e-24,2.879769379021861e-28,4.3529273034117934e-15,1.272204945329293e-19,2.0449116653542317e-24,0.00034587125992402434,3.793053870992935e-09,7.962179187361878e-17,1.1322460330420725e-11,7.014644507613577e-12,1.7878257829657207e-18,6.108349936972957e-11,5.548430591165803e-18,1.2577111151234838e-24,7.3893483067966705e-28,5.939536887092092e-24,9.847564933561672e-30,1.9094493766671254e-26,9.522357627922645e-17,2.6160171068297116e-19,1.2628340213816092e-12,2.9009697146342323e-22,2.1609803013689088e-07,2.071824916488607e-12,8.171486057251265e-12,8.473381440943228e-10,2.986641067150807e-18,3.067667037818904e-14,1.4465951273647837e-17,1.2268138627852962e-34,9.64438948070001e-31,7.32213872867149e-11,4.282420026772461e-14,6.668260388309477e-10,1.2588558210526585e-28,2.7306421013229e-10,3.3535556834309233e-25,5.173945059324039e-22,2.4062136099171984e-33,1.3570429757692182e-07,6.663118053570345e-23,8.350088737459884e-24,8.790896322688333e-25,3.454778152445215e-07,1.437799185100257e-23,3.138654613987768e-10,1.6374581690570267e-08,1.5064166616635167e-29,3.94842145090557e-12,4.3330967286481226e-11,3.656696331280429e-20,5.671369068935578e-18,8.288518074550666e-06,7.79199567942589e-23,7.212804915134995e-21,1.485559996154265e-20,9.00003303587434e-22,3.86532623746466e-25,3.097929407441932e-15,5.536518465909523e-10,4.28333397153949e-22,5.0372697007507183e-14,3.676102324428225e-31,1.6158301910026984e-12,1.007301707323105e-11,1.3878862201329322e-23,1.4461947414137112e-21,5.806145494946513e-12,5.603133872326074e-34,1.1120316302190854e-18,5.0925660444265525e-14,1.033657187621273e-10,1.935914517421573e-23,1.6958307215039866e-21,1.5472201084776316e-06,1.183392059949588e-15,1.7363862363108617e-26,1.029717336500285e-18
8.059138751313755e-13,0.8793651461601257,1.0649121829579139e-13,1.101108632475345e-15,1.9041734335145666e-13,5.399437356777429e-15,2.138390016170888e-07,5.473785673722675e-15,2.4452811997477397e-10,2.0745382842135562e-11,3.089939068501302e-11,1.5849123320161852e-16,3.3174515010614414e-06,0.00012073791003786027,3.0782654203420634e-09,2.58429554378381e-05,0.00013922846119385213,3.4412682833808318e-15,3.7931929455226054e-06,3.703897605289441e-11,7.5274581012863e-10,3.690843576673996e-15,6.015746576012657e-15,2.243219832109844e-09,6.632653315463699e-10,7.078197077937942e-13,5.704942161038895e-12,7.193627027390903e-09,0.0011749202385544777,1.8403600236689635e-18,2.2440040936544392e-08,7.076716457277143e-08,6.446929795567158e-11,8.819169124762993e-06,1.3461655790081295e-08,1.5220982731989352e-06,7.29025018131324e-08,7.651455025126097e-10,2.879073881563313e-15,2.956405465489448e-13,1.0129361793786984e-09,5.445497393792562e-17,3.9914238580962547e-11,7.446834704438743e-09,0.05485517531633377,4.8824295951273056e-17,1.0165460053584985e-12,1.9703414455563006e-09,1.2134163465682413e-11,5.370438252091936e-13,6.070048164195235e-14,1.5377334703568475e-15,7.929408133789187e-14,6.61741843064462e-16,1.4529193322232459e-05,3.279730620420196e-08,7.808994878684417e-13,1.3643275089664079e-15,3.5708445748905415e-12,1.2454279385565314e-07,1.468430547513569e-14,3.017090991705925e-17,4.6335674852571174e-08,5.336034405445389e-07,1.306368790920942e-09,0.017474176362156868,1.1508784885109948e-16,5.1883317087053626e-11,7.013572448505423e-12,2.74845674241549e-16,1.0722514185140114e-13,1.8898290918278882e-11,3.688107597388638e-18,3.0132379881184224e-13,0.04673612490296364,4.917329073089857e-16,3.938065219699638e-06,5.927866704447116e-13,2.9135768157576513e-16,1.5465853948626318e-06,4.688702225953689e-13,6.6412562773621175e-06,4.646099275793837e-19,1.175961069681828e-17,7.133701181855079e-12,2.4270766265338964e-17,9.503878573013935e-07,4.4733922122119907e-10,4.813588763696863e-13,2.649810438345307e-14,1.5314093049223487e-10,1.5853954976087492e-13,6.246249540708959e-05,2.3141646585123077e-11,6.590285650531769e-09,1.5166842251615454e-16
9.165356673130748e-21,4.569922660234947e-14,0.9254618287086487,2.688270392831862e-15,2.936884939004603e-15,2.3999251309934477e-15,2.7969139049059677e-13,2.5942622360400516e-17,2.31481663264671e-13,7.435269769377029e-17,1.1616929640467788e-11,3.0095433090071566e-11,3.1435268718236356e-17,1.3977810575660499e-10,4.5818413951792536e-08,2.725363117406232e-07,6.065077910386019e-13,3.5421376942679217e-09,1.2042755302092006e-14,0.0026456902269273996,2.573005097872283e-08,0.00048035982763394713,1.5803403812242323e-06,5.558385882301805e-23,3.7060237607698655e-20,3.15942294062141e-15,1.0760525635681098e-13,1.6904431019195598e-19,4.124039773415779e-14,5.661309311916014e-18,2.1247710257910057e-09,4.1669882822059634e-11,0.02993732877075672,1.268853133673531e-09,2.1634363950914087e-13,5.84497524707718e-14,1.7701289110709506e-13,1.5877359957551962e-16,2.5985149700925338e-14,1.9162924328462793e-17,1.890689869398783e-17,1.2157774117757905e-15,1.2624354374240624e-22,2.777297618699458e-17,3.7958447454309544e-15,4.228767011221287e-19,2.8443186457016175e-18,2.7782164124801056e-06,2.6298758726284177e-08,1.027711559999645e-16,2.2789980619971036e-17,3.1492553688808062e-15,3.499243803162244e-06,1.6036133467130231e-13,9.428355042473413e-06,3.469656380849823e-15,4.600063618909189e-08,3.2008247464128978e-16,0.0003112499543931335,2.1003148872877908e-11,5.267010743496034e-16,1.938896665096618e-16,7.051791876128144e-12,5.672463428885986e-18,1.1076775582697594e-18,2.1953668050134212e-11,1.1822720580312307e-10,1.7311523304772625e-18,6.304958333203103e-07,2.928156171838919e-17,1.3293663245192323e-20,7.44300291972283e-13,5.135713902759687e-13,1.7284619172631277e-16,1.2755975254888493e-15,4.1053341282015765e-12,1.5077082215366732e-21,1.2947586709654048e-19,2.9552180080827384e-07,3.748774277519086e-15,1.0369429048751044e-07,2.2500940552887857e-17,5.723172081977324e-18,6.599811808172262e-09,1.977318531132255e-09,1.1957375651558194e-15,6.564346404047683e-05,1.5244426831984015e-09,4.354021143626596e-09,7.632210835550879e-12,1.6123984778459999e-06,2.3572247300762683e-05,3.4185945245320566e-19,1.0597066662108185e-18,0.04105402156710625,2.7250974372027004e-13
2.972331061834588e-11,2.0894660485690003e-26,1.807710915378281e-17,0.9966015815734863,4.423047812451841e-06,8.830339650949762e-17,1.4538537755341952e-20,1.7774176228058103e-11,2.068618437479634e-16,9.353800720091066e-12,1.3208988707917876e-20,0.0028491178527474403,1.4032596045627517e-21,1.773952630758124e-30,5.33796191456993e-25,1.0986597961214656e-24,3.4152366264889045e-12,1.1337402506606323e-13,6.208735240341434e-14,1.3406249069688682e-21,1.464133176677651e-13,4.9530314456421766e-17,3.118079519026651e-07,1.4340797429776564e-12,7.1633454820793e-23,2.0479026474617967e-08,3.3210054360736696e-20,1.1462159956528335e-14,2.49323706881679e-27,1.5645865687474725e-06,1.568354959357141e-20,5.640753975022506e-10,3.5453215602920106e-27,4.063304655880835e-27,1.3109893001997627e-28,4.830248808699807e-19,8.754577791869611e-12,6.328389190457528e-07,1.1202877242143163e-14,5.6700439017731696e-05,3.4463636389148178e-09,1.304490456627283e-11,8.692836921416705e-18,3.3333923255081364e-28,1.6388939977829508e-21,2.947919408580191e-10,1.1935232750472432e-21,4.5463779119634595e-29,5.306823197841117e-15,1.3288967399192701e-24,4.20878131990321e-06,1.1559813373196448e-07,5.436169443460924e-17,8.862084278599649e-19,4.164720782721586e-23,1.232339282797544e-30,8.846875454437964e-10,1.3776462338532108e-14,9.16741291165541e-22,6.755142705746113e-29,1.184717190056008e-16,9.81328796001435e-08,9.542000611872936e-08,9.23430745118723e-15,0.0004792971012648195,6.7212502770353385e-18,7.302661080010875e-13,1.704283372414317e-22,1.1161139373827567e-10,5.633319943854076e-08,3.734865222284117e-18,4.252940044385538e-24,4.566976002018039e-14,5.244032936838556e-24,3.867341678469887e-24,1.1119887706828265e-15,7.67984179786944e-16,1.7788941022445215e-06,9.557576728473887e-15,1.241816516981557e-28,5.705964889929237e-20,3.8564595511494653e-29,2.6292953003628078e-14,1.0486870927195469e-08,6.783154284352395e-23,1.5100654060518082e-09,4.547116713705665e-17,4.195727746997013e-27,3.678914362648796e-24,9.859731919803494e-10,3.466328613033198e-11,3.0531563565726865e-21,6.611187408337228e-20,1.997323707396464e-17,7.140913908805339e-17,1.1560806521987592e-18
2.0035668679696528e-09,4.762647135506443e-25,3.765516787623181e-21,9.965424929703204e-09,0.9948810338973999,2.110319162256999e-13,1.100275501748198e-30,0.005027230363339186,1.624037709868631e-11,1.2370465662882932e-27,1.3995213044083504e-16,1.2261188158529945e-12,2.8093755671782255e-21,3.8042203941198267e-31,3.104555885628511e-33,3.4263909642909464e-25,5.089924791217966e-18,8.48619413494728e-17,2.1874280900042682e-27,6.049488813099863e-25,1.3937233349330733e-18,3.0722063667925785e-17,4.638246746841295e-19,5.629177894611698e-18,1.7407551115674213e-17,1.158307186330082e-23,1.5798504498885037e-17,1.4433508183726532e-25,1.0252920479554841e-22,2.2055746917953693e-14,1.5467298279691508e-18,4.342265953814588e-14,1.067057017530277e-25,4.069797781085066e-23,1.2527444541345979e-30,1.6343181501487875e-21,2.5678765780412505e-08,4.651787073083329e-18,1.2210216482344549e-05,2.433111786043167e-21,3.930275488528423e-05,1.5673507413813126e-12,1.1700255523745784e-25,6.79178743168655e-20,2.7150994798818357e-28,8.364408995105588e-19,2.2380359000257756e-21,8.586137243716872e-30,1.498557615635953e-27,1.7456523994873594e-21,5.111053594242243e-11,2.8506150773210948e-09,2.939156681369139e-17,5.160326133152354e-18,3.2468720894277272e-28,1.3460039206392882e-31,7.409533035608492e-24,1.0013026484833228e-18,6.723549393236187e-21,8.500103733678686e-22,3.521424236356065e-27,3.90119239455089e-05,1.631510360684278e-19,1.2264626163618897e-12,1.110531570702733e-06,1.310037245042925e-24,2.3266546634735825e-15,3.429372129153119e-14,1.2414047944415243e-20,1.77665549134321e-22,9.219868792043062e-13,2.306848418573458e-31,1.5344390194346896e-21,1.42393189785499e-24,1.561806117974602e-27,1.732650897403873e-19,7.643358359752728e-26,1.6849327865702496e-18,3.75258280092602e-21,2.030565317672366e-25,1.9758052104892352e-29,8.75777698365876e-25,6.200348671839463e-17,3.631623792211479e-21,1.096724006748938e-19,4.737333301248897e-14,6.167062614566265e-25,2.813383750504992e-23,7.645889542003911e-20,9.451471144558995e-19,1.7362510717730394e-18,3.8859449635193744e-17,2.388685385527236e-19,1.7906003535353767e-18,3.547331417024845e-23,9.682058597053691e-21
1.040702841237362e-06,4.29059276982219e-25,2.936314585892573e-27,3.8686716222254424e-21,1.0178711387567614e-22,0.9988271594047546,2.912800645077995e-39,3.492504774271765e-08,2.1768801568848482e-26,3.559100036048556e-34,1.1688457551104658e-19,3.074742458606696e-20,1.460610278558594e-11,1.0191426966977545e-35,3.410327516993067e-37,5.952714808513809e-26,1.5999398197629609e-27,2.265446279303586e-18,1.8230962292093636e-33,1.7889432118045558e-29,2.2811314848739698e-20,9.648153137897342e-16,5.594857639045217e-32,6.631863946893191e-10,6.163687615856617e-12,2.2859822852434824e-21,1.624368139996335e-10,3.888370505229564e-18,8.917048246941916e-26,3.433286366316679e-08,1.592228804716857e-23,1.6011812628733473e-32,1.2353806368863982e-27,4.717232694378641e-28,4.2944319696104747e-29,2.7461169505687676e-35,1.7703243574932714e-26,8.474487172795545e-29,4.277275177767596e-17,3.374634761097697e-30,2.5042555968943297e-18,3.6661831348538954e-09,2.2921583194271845e-19,3.447443164272812e-10,4.181232427863577e-27,7.399459900568205e-19,2.1547460420941098e-19,2.0344934598413975e-33,3.187555544318031e-36,9.60347279033158e-07,2.147525440821289e-26,1.8774651971975587e-11,4.0212991993473764e-26,0.0011183969909325242,1.3219407397166562e-28,5.8146358236827476e-21,1.017319283415463e-38,1.5484518181563267e-11,2.8454891271700386e-24,1.0244260127879053e-24,2.0772263169566724e-25,1.5519621698878439e-10,1.1944343887555414e-34,4.198362065258211e-21,2.2795622070306573e-23,3.4766994021844876e-38,7.84174005730165e-08,4.86761716003703e-12,9.3300520597873e-28,6.836632269522595e-24,5.2180173952365294e-05,1.0683196140609866e-23,1.3598117215529666e-18,3.4800504251295666e-19,4.45005280086061e-33,4.0129341922641226e-25,7.58878490069978e-27,1.8612593880799693e-19,7.08854990187216e-18,8.073323103572412e-19,2.0923802453902256e-29,6.200079241246853e-14,1.1947189904049083e-08,2.914535163975639e-24,8.940202957155215e-20,2.52762102291278e-14,1.8083056032879602e-40,7.74086138964515e-17,9.7376350538525e-08,7.150785633113291e-14,1.48124125431721e-31,8.32220210435007e-18,1.4371475667165705e-16,1.198398485928607e-22,1.9338621435323862e-33,7.439413803956088e-14
2.715136350174351e-20,1.6564733959500977e-11,1.4962194677670126e-11,6.615102007292116e-15,1.3246547515301504e-14,4.983683057510151e-19,0.9033390879631042,1.324212556325675e-18,1.238835284356199e-10,0.00020004442194476724,1.5393596677364574e-15,2.5541266320081458e-15,5.5816977274511545e-18,0.008059919811785221,0.08495084941387177,1.1642836868219764e-11,3.1241543098185776e-13,5.445416330092532e-17,2.0528148070297902e-06,5.47749090529237e-09,2.2924396146021923e-16,2.514499677878511e-15,7.630394233126836e-11,2.0738906881807e-18,2.0213739837064433e-16,5.280464040742332e-14,1.5371216081664645e-18,1.1176722524916527e-12,7.392172811371278e-12,5.831258035540342e-17,1.0948895259941908e-14,1.5734328826511046e-06,4.400166689344509e-11,4.411233878176546e-11,0.0024157471489161253,0.0002623508044052869,4.7428918431569045e-11,5.049232854048569e-08,1.9490298261237395e-16,5.561332727666013e-08,9.692739628751828e-17,2.830115483091133e-16,2.106561279580088e-11,4.697284901905889e-18,1.1928616983070128e-09,1.3113626937816258e-12,5.220040510955926e-10,6.200373900355771e-05,2.3185131794889458e-05,9.476405263353487e-18,2.230704336525502e-11,3.690700229582563e-17,1.7335292090692178e-09,2.9792227046222782e-18,7.170939952949595e-10,4.479491888531584e-09,0.0003814975789282471,2.2601099303768534e-18,5.6617298333340796e-14,2.2245531805520358e-10,8.519594302924816e-06,2.4710227472453687e-17,8.925732686293486e-08,6.5215294102471955e-12,2.190199112567584e-13,0.00019722647266462445,3.555814534071501e-18,3.346400527113901e-17,9.63574597716288e-13,3.938495363176031e-11,7.070607527205272e-19,1.0807613470831257e-08,6.258369690537169e-12,3.6831131478010093e-09,2.7285928808851168e-05,2.46576554729927e-08,3.947170590379301e-09,9.730462929272068e-15,6.492270371478981e-14,1.709202712089214e-14,2.1646150344167836e-05,1.6702854106331183e-13,4.209802055201646e-17,2.6890090848441517e-11,1.4560404206116762e-13,2.659156388127074e-15,4.6836863475618884e-05,4.687104988630546e-16,8.900624691290026e-19,1.1009399240263312e-17,8.923370375946149e-11,9.203906591677326e-15,2.801146559248342e-17,1.2383634118151576e-09,6.463199420103649e-10,1.8349139211098348e-14
4.31587832281366e-05,1.5621401036243534e-22,3.2196644716337277e-23,1.9856971969489656e-12,0.0007471950957551599,6.196608226538558e-10,3.344663463753425e-32,0.9854509830474854,7.101164795075832e-11,2.2810311019740315e-29,3.2779188645860954e-18,1.9217220927091917e-14,9.081438101387992e-18,4.053664124654713e-28,5.78851587472985e-35,3.3878583754480857e-26,1.6333972149953708e-22,5.559873311451494e-17,1.991720482411798e-31,9.183014241881135e-27,9.717372100626316e-21,1.0739520812069923e-17,3.5891514579655073e-23,1.394004727053649e-14,1.3362679851525172e-08,1.0296113927331493e-25,4.090196063788465e-14,2.0525477600306806e-23,2.068997397869566e-19,1.8015013851339912e-13,1.746943621961206e-18,2.6153579472790834e-19,1.2698005564074156e-25,3.91514664932628e-23,5.729438760054758e-29,3.3770913209280605e-22,1.237434321677e-10,6.935612168224501e-21,0.0015584530774503946,9.194621898693155e-26,3.40850397151371e-06,9.542056034206325e-11,1.4052185605081462e-19,1.4951700901683074e-13,1.0039921911304242e-27,3.626696501029007e-16,8.582211936963456e-17,2.86214278104597e-31,2.49662304775665e-32,2.0667041430188392e-17,6.791016082807744e-10,3.063684583803905e-10,4.313667629720283e-22,8.845369911785611e-14,1.4074163393581675e-29,1.5757230033085408e-26,1.5276710477354239e-30,3.4028629625193745e-15,1.17065080214755e-20,4.610978091713631e-20,1.7340755826007837e-26,0.012195543386042118,1.4840994284318446e-26,3.2123326221267234e-09,3.797910430591855e-09,6.154600659888416e-30,5.261141999488017e-13,2.4023687927865467e-08,1.9766726332546722e-24,2.7405643789972747e-22,1.2345442428340903e-06,1.3882899892657686e-28,9.148527707802163e-22,8.45864877756496e-22,5.0935077251077795e-25,3.2977193324780215e-20,4.143032393196073e-24,6.914357245397068e-18,3.5219489023207086e-22,2.181031644762543e-20,9.060232029937407e-32,5.969969275948339e-18,4.991392498973624e-13,1.526535466201491e-22,5.603104980758268e-21,1.5635953642956224e-10,4.7058045190218397e-32,5.709432828491494e-21,2.1226194348450558e-16,5.188461854507733e-18,1.2157563288516005e-22,4.757695556401862e-18,1.651851127670162e-14,4.792351140491674e-14,3.513727449926316e-27,2.2699482291744516e-20
2.7581639998991093e-24,1.1617822789141165e-19,3.14465478049101e-22,8.886196873154092e-23,6.678467112664066e-09,2.813295398083607e-23,2.415795014374343e-22,2.022396278222871e-10,0.999921441078186,2.670637401000401e-29,1.3177492565324e-17,1.3292178520616276e-20,1.6950553307218933e-30,2.576064903926645e-13,1.6846856484373574e-27,6.1966049624287265e-25,3.0278744587104286e-25,8.18798057929469e-21,7.606388257553683e-32,8.032706649166685e-28,6.433661062751027e-29,7.787330651855253e-25,9.262097929734043e-23,7.908838249973984e-27,3.0834565456494545e-10,1.304631403165711e-37,1.831164820639121e-21,1.1148052219186859e-35,1.4760812364067455e-11,1.6647066996910077e-30,6.859103823792347e-15,1.697176976733772e-08,1.4035581852599342e-21,1.210000792659304e-17,8.513665174028972e-21,7.882357749622315e-06,6.6200147557538e-05,2.0641835944454194e-19,2.1104171992192278e-06,2.671865476488712e-25,1.083936678478517e-13,5.26003014149128e-19,1.1048968872587948e-30,2.851231188901157e-21,2.802671333897191e-29,1.4850713790227868e-24,3.375880582400801e-17,2.0706337291422577e-20,1.5992776967089845e-31,1.436007261914729e-32,6.402729908761007e-13,2.966134977037869e-21,1.1917856706950633e-19,8.886800181164263e-32,4.1923444417895835e-29,1.7615391124961523e-27,3.2251176335686926e-21,9.009626279808736e-37,7.519692484438681e-17,8.599893366878497e-12,4.9966236199216304e-30,6.597256730394252e-18,2.9688811722428988e-24,3.3404485844101828e-09,1.660392364388302e-17,6.588030357841836e-17,1.82625796065824e-24,2.403772214165656e-06,2.6906066990321702e-30,1.477984664767692e-31,1.7348334909982766e-17,5.750027134001287e-37,2.515767618951882e-31,3.5255206893477765e-27,1.4401531119626455e-19,5.416125120139478e-18,1.1424806249760402e-25,6.099618986141134e-28,4.574238312976253e-31,1.87882541721165e-31,9.902040915281604e-31,1.1565973303180155e-23,1.4345108153353554e-27,2.3396517439158887e-26,6.521588908064716e-26,1.3651072801357428e-19,2.359575865795729e-19,1.6332449262912493e-28,3.088758681745628e-26,1.7273648508991596e-32,3.873272556535062e-17,1.0769596246112345e-19,1.618182542311488e-19,2.8584753921506723e-12,2.7109328070221285e-23,4.535610275564447e-32
7.914693646836075e-15,9.439068857043306e-14,9.722171852299955e-12,2.517470854002113e-08,6.616049288282744e-12,3.379997890443396e-16,0.004441266879439354,1.2214399329073039e-15,2.012105933257846e-11,0.9661426544189453,1.8186969988786183e-16,1.8723534722653312e-08,5.561822148974669e-16,2.8658222461785954e-08,1.565748061693739e-05,1.938744066817214e-14,5.557740465761407e-12,2.737126118205341e-13,3.462138556642458e-05,4.394104871630056e-11,1.656949588386275e-13,2.9766909558992874e-14,2.07909261007444e-06,2.8951214255806823e-12,4.0987199257432744e-14,2.684918172235484e-07,7.122014486169728e-16,9.44061113727912e-08,2.4945108438177883e-14,2.5416413418355432e-09,6.242745053129705e-15,1.192360770119194e-07,2.02935016474547e-14,1.4474481861573643e-14,9.680926638111487e-08,8.90223702754156e-07,2.1992442589269245e-11,4.3443757022032514e-05,1.113777344278425e-14,0.010259740054607391,1.3881403622059696e-13,3.6239340521493357e-12,1.7549054973642342e-06,1.9648511194485004e-18,5.150574966528154e-10,6.435193881770829e-06,1.712458064240252e-09,3.31554818322477e-11,0.0001169592360383831,7.08742841039766e-17,3.477978680166416e-06,4.523549937407445e-12,1.9174981047420658e-11,8.22988392387182e-15,1.6292438318604718e-12,1.1540476907434538e-11,0.016919290646910667,6.0002788328239465e-12,1.1781976727521983e-14,4.79605597789967e-15,0.0011659811716526747,2.918969319726239e-12,4.314060788601637e-06,1.3386811104076912e-10,2.3560473572104e-09,9.059728967031333e-08,1.5281314625151254e-13,2.0780314881526914e-16,6.820570774834778e-09,0.0008294510189443827,9.599230632446301e-16,2.4914228902161994e-08,9.922457167022003e-08,9.52748435700812e-10,1.2298981744152115e-07,1.1746632821996172e-07,3.001944378411281e-06,3.438693454427266e-07,8.573525916988345e-11,4.116376835748559e-15,1.5784551123942947e-06,1.1781611021047006e-15,3.545203713928302e-11,5.812870313093299e-06,1.2945295588929302e-15,2.238306651136668e-09,1.2381764236124582e-07,5.331515214105205e-17,2.261857556216025e-18,4.582088874993673e-11,3.3055052028885257e-09,2.6102262593795085e-16,7.672997030501796e-15,2.1189690002643147e-08,1.7408881280989164e-10,2.0741312313499183e-12
