arg:  ['/var/spool/slurm/d/job09305/slurm_script', 'Height', 'ContrastiveLearning_Model/saved_models/files99/NewRunCorrected/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 49493
The maximum number of lines among all files: 63914
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
['0024rs22514', 'PSYPOOLS1701015', '1010 f14 01 009', '0021rs22514', 'PSYPOOLS1701021', 'PSYPOOLS1701024', '0016rs22514', '0023rs22514', '0036rs22514', '1010 f14 01 015', 'PSYPOOLS1701013', '0019rs22514', '006rs22514', '0022rs22514', 'PSYPOOLS1701035', '0038rs22514', 'PSYPOOLS1701004', '1010 f14 01 012', 'PSYPOOLS1701022', 'PSYPOOL51701003', '0031rs22514', '0025rs22514', '1010 f14 01 008', 'PSYPOOLS1701027', '0037rs22514', 'PSYPOOLS1701049', '007rs22514', '1010 f14 01 011', 'PSYPOOLS1701087', 'PSYPOOLS1701026', '1010 f14 01 020', '004rs22514', '0011rs22514', 'PSYPOOLS1701002', '0027rs22514', '1010 f14 01 019', 'PSYPOOLS1701018', '0012rs22514', 'PSYPOOLS1701012', '0028rs22514', 'PSYPOOLS1701031', 'PSYPOOLS1701009', '0034rs22514', 'PSYPOOLS1701055', 'PSYPOOLS1701029', 'PSYPOOLS1701036', 'PSYPOOLS1701028', '003rs22514', '1010 f14 01 006', 'PSYPOOLS17', 'PSYPOOLS1701011', '0026rs22514', '1010 f14 01 016', '0035rs22514', '0032rs22514', '002rs22514', '1010 f14 01 013', 'PSYPOOLS1701008', 'PSYPOOLS1701014', '0015rs22514', '1010 f14 01 010', 'PSYPOOLS1701054', 'PSYPOOLS1701006', '0040rs22514', '0042rs22514', 'PSYPOOLS1701017', 'PSYPOOLS1701005', '1010 f14 01 005', '0041rs22514', 'psy pool s17 01 001', '0030rs22514', 'PSYPOOLS1701037', '0014rs22514', '1010 f14 01 001', '1010 f14 01 002', 'PSYPOOLS1701030', '005rs22514', '0020rs22514', 'PSYPOOLS1701016', '0018rs22514', 'PSYPOOLS1701025', '0013rs22514', '0010rs22514', '1010 f14 01 017', '1010 f14 01 004', '0017rs22514', '008rs22514', '0039rs22514', '1010 f14 01 018', '009rs22514', '1010 f14 01 014', '1010 f14 01 003', '1010 f14 01 007', 'PSYPOOLS1701023', 'PSYPOOLS1701048', '0029rs22514']
####### Left out ==>  0  #######
batch_size = 4 subsample_size = 8000
(1, 49493, 3)
train num batches 13
val num batches 1
*************** Using pretrained ***************
Epoch [1/250], Train Loss: 1.6869
Epoch [2/250], Train Loss: 1.4487
Epoch [3/250], Train Loss: 0.5698
Epoch [4/250], Train Loss: 0.5259
Epoch [5/250], Train Loss: 0.4837
Epoch [6/250], Train Loss: 0.2998
Epoch [7/250], Train Loss: 0.3153
Epoch [8/250], Train Loss: 0.2322
Epoch [9/250], Train Loss: 0.2147
Epoch [10/250], Train Loss: 0.1141
Epoch [11/250], Train Loss: 0.1828
Epoch [12/250], Train Loss: 0.1512
Epoch [13/250], Train Loss: 0.0920
Epoch [14/250], Train Loss: 0.2789
Epoch [15/250], Train Loss: 0.1792
Epoch [16/250], Train Loss: 0.2021
Epoch [17/250], Train Loss: 0.1776
Epoch [18/250], Train Loss: 0.1490
Epoch [19/250], Train Loss: 0.1876
Epoch [20/250], Train Loss: 0.2066
Epoch [21/250], Train Loss: 0.1136
Epoch [22/250], Train Loss: 0.1404
Epoch [23/250], Train Loss: 0.1498
Epoch [24/250], Train Loss: 0.1349
Epoch [25/250], Train Loss: 0.1139
Epoch [26/250], Train Loss: 0.0707
Epoch [27/250], Train Loss: 0.1079
Epoch [28/250], Train Loss: 0.0867
Epoch [29/250], Train Loss: 0.1978
Epoch [30/250], Train Loss: 0.1060
Epoch [31/250], Train Loss: 0.1410
Epoch [32/250], Train Loss: 0.1035
Epoch [33/250], Train Loss: 0.0943
Epoch [34/250], Train Loss: 0.1058
Epoch [35/250], Train Loss: 0.0838
Epoch [36/250], Train Loss: 0.0590
Epoch [37/250], Train Loss: 0.0680
Epoch [38/250], Train Loss: 0.0499
Epoch [39/250], Train Loss: 0.0799
Epoch [40/250], Train Loss: 0.0660
Epoch [41/250], Train Loss: 0.0887
Epoch [42/250], Train Loss: 0.0591
Epoch [43/250], Train Loss: 0.0732
Epoch [44/250], Train Loss: 0.0562
Epoch [45/250], Train Loss: 0.0618
Epoch [46/250], Train Loss: 0.0592
Epoch [47/250], Train Loss: 0.0553
Epoch [48/250], Train Loss: 0.0589
Epoch [49/250], Train Loss: 0.0600
Epoch [50/250], Train Loss: 0.0468
Epoch [51/250], Train Loss: 0.0294
Epoch [52/250], Train Loss: 0.0622
Epoch [53/250], Train Loss: 0.0485
Epoch [54/250], Train Loss: 0.0490
Epoch [55/250], Train Loss: 0.0330
Epoch [56/250], Train Loss: 0.0308
Epoch [57/250], Train Loss: 0.0653
Epoch [58/250], Train Loss: 0.0321
Epoch [59/250], Train Loss: 0.0575
Epoch [60/250], Train Loss: 0.0517
Epoch [61/250], Train Loss: 0.0452
Epoch [62/250], Train Loss: 0.0384
Epoch [63/250], Train Loss: 0.0339
Epoch [64/250], Train Loss: 0.0422
Epoch [65/250], Train Loss: 0.0500
Epoch [66/250], Train Loss: 0.0436
Epoch [67/250], Train Loss: 0.0305
Epoch [68/250], Train Loss: 0.0399
Epoch [69/250], Train Loss: 0.0443
Epoch [70/250], Train Loss: 0.0570
Epoch [71/250], Train Loss: 0.0372
Epoch [72/250], Train Loss: 0.0575
Epoch [73/250], Train Loss: 0.0487
Epoch [74/250], Train Loss: 0.0474
Epoch [75/250], Train Loss: 0.0390
Epoch [76/250], Train Loss: 0.0416
Epoch [77/250], Train Loss: 0.0416
Epoch [78/250], Train Loss: 0.0388
Epoch [79/250], Train Loss: 0.0562
Epoch [80/250], Train Loss: 0.0458
Epoch [81/250], Train Loss: 0.0347
Epoch [82/250], Train Loss: 0.0313
Epoch [83/250], Train Loss: 0.0381
Epoch [84/250], Train Loss: 0.0424
Epoch [85/250], Train Loss: 0.0280
Epoch [86/250], Train Loss: 0.0383
Epoch [87/250], Train Loss: 0.0390
Epoch [88/250], Train Loss: 0.0369
Epoch [89/250], Train Loss: 0.0301
Epoch [90/250], Train Loss: 0.0464
Epoch [91/250], Train Loss: 0.0317
Epoch [92/250], Train Loss: 0.0446
Epoch [93/250], Train Loss: 0.0354
Epoch [94/250], Train Loss: 0.0385
Epoch [95/250], Train Loss: 0.0385
Epoch [96/250], Train Loss: 0.0478
Epoch [97/250], Train Loss: 0.0350
Epoch [98/250], Train Loss: 0.0324
Epoch [99/250], Train Loss: 0.0445
Epoch [100/250], Train Loss: 0.0439
Epoch [101/250], Train Loss: 0.0448
Epoch [102/250], Train Loss: 0.0435
Epoch [103/250], Train Loss: 0.0245
Epoch [104/250], Train Loss: 0.0296
Epoch [105/250], Train Loss: 0.0322
Epoch [106/250], Train Loss: 0.0499
Epoch [107/250], Train Loss: 0.0266
Epoch [108/250], Train Loss: 0.0255
Epoch [109/250], Train Loss: 0.0326
Epoch [110/250], Train Loss: 0.0257
Epoch [111/250], Train Loss: 0.0305
Epoch [112/250], Train Loss: 0.0312
Epoch [113/250], Train Loss: 0.0324
Epoch [114/250], Train Loss: 0.0338
Epoch [115/250], Train Loss: 0.0319
Epoch [116/250], Train Loss: 0.0278
Epoch [117/250], Train Loss: 0.0271
