arg:  ['/var/spool/slurm/d/job09165/slurm_script', 'Weight', 'ContrastiveLearning_Model/saved_models/files99/NewRunCorrected/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 49493
The maximum number of lines among all files: 63914
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
['0024rs22514', 'PSYPOOLS1701015', '1010 f14 01 009', '0021rs22514', 'PSYPOOLS1701021', 'PSYPOOLS1701024', '0016rs22514', '0023rs22514', '0036rs22514', '1010 f14 01 015', 'PSYPOOLS1701013', '0019rs22514', '006rs22514', '0022rs22514', 'PSYPOOLS1701035', '0038rs22514', 'PSYPOOLS1701004', '1010 f14 01 012', 'PSYPOOLS1701022', 'PSYPOOL51701003', '0031rs22514', '0025rs22514', '1010 f14 01 008', 'PSYPOOLS1701027', '0037rs22514', 'PSYPOOLS1701049', '007rs22514', '1010 f14 01 011', 'PSYPOOLS1701087', 'PSYPOOLS1701026', '1010 f14 01 020', '004rs22514', '0011rs22514', 'PSYPOOLS1701002', '0027rs22514', '1010 f14 01 019', 'PSYPOOLS1701018', '0012rs22514', 'PSYPOOLS1701012', '0028rs22514', 'PSYPOOLS1701031', 'PSYPOOLS1701009', '0034rs22514', 'PSYPOOLS1701055', 'PSYPOOLS1701029', 'PSYPOOLS1701036', 'PSYPOOLS1701028', '003rs22514', '1010 f14 01 006', 'PSYPOOLS17', 'PSYPOOLS1701011', '0026rs22514', '1010 f14 01 016', '0035rs22514', '0032rs22514', '002rs22514', '1010 f14 01 013', 'PSYPOOLS1701008', 'PSYPOOLS1701014', '0015rs22514', '1010 f14 01 010', 'PSYPOOLS1701054', 'PSYPOOLS1701006', '0040rs22514', '0042rs22514', 'PSYPOOLS1701017', 'PSYPOOLS1701005', '1010 f14 01 005', '0041rs22514', 'psy pool s17 01 001', '0030rs22514', 'PSYPOOLS1701037', '0014rs22514', '1010 f14 01 001', '1010 f14 01 002', 'PSYPOOLS1701030', '005rs22514', '0020rs22514', 'PSYPOOLS1701016', '0018rs22514', 'PSYPOOLS1701025', '0013rs22514', '0010rs22514', '1010 f14 01 017', '1010 f14 01 004', '0017rs22514', '008rs22514', '0039rs22514', '1010 f14 01 018', '009rs22514', '1010 f14 01 014', '1010 f14 01 003', '1010 f14 01 007', 'PSYPOOLS1701023', 'PSYPOOLS1701048', '0029rs22514']
####### Left out ==>  0  #######
batch_size = 4 subsample_size = 8000
(1, 49493, 3)
train num batches 13
val num batches 1
*************** Using pretrained ***************
Epoch [1/250], Train Loss: 0.8461
Epoch [2/250], Train Loss: 0.6293
Epoch [3/250], Train Loss: 1.1990
Epoch [4/250], Train Loss: 0.4397
Epoch [5/250], Train Loss: 0.3481
Epoch [6/250], Train Loss: 0.2624
Epoch [7/250], Train Loss: 0.1846
Epoch [8/250], Train Loss: 0.2444
Epoch [9/250], Train Loss: 0.1892
Epoch [10/250], Train Loss: 0.1522
Epoch [11/250], Train Loss: 0.2070
Epoch [12/250], Train Loss: 0.2149
Epoch [13/250], Train Loss: 0.1691
Epoch [14/250], Train Loss: 0.0871
Epoch [15/250], Train Loss: 0.1108
Epoch [16/250], Train Loss: 0.1234
Epoch [17/250], Train Loss: 0.1381
Epoch [18/250], Train Loss: 0.1573
Epoch [19/250], Train Loss: 0.0977
Epoch [20/250], Train Loss: 0.0727
Epoch [21/250], Train Loss: 0.0839
Epoch [22/250], Train Loss: 0.0674
Epoch [23/250], Train Loss: 0.0462
Epoch [24/250], Train Loss: 0.0930
Epoch [25/250], Train Loss: 0.0739
Epoch [26/250], Train Loss: 0.1232
Epoch [27/250], Train Loss: 0.0783
Epoch [28/250], Train Loss: 0.0737
Epoch [29/250], Train Loss: 0.0633
Epoch [30/250], Train Loss: 0.0834
Epoch [31/250], Train Loss: 0.0878
Epoch [32/250], Train Loss: 0.0673
Epoch [33/250], Train Loss: 0.0458
Epoch [34/250], Train Loss: 0.0411
Epoch [35/250], Train Loss: 0.1140
Epoch [36/250], Train Loss: 0.0703
Epoch [37/250], Train Loss: 0.0689
Epoch [38/250], Train Loss: 0.0461
Epoch [39/250], Train Loss: 0.0680
Epoch [40/250], Train Loss: 0.0750
Epoch [41/250], Train Loss: 0.0438
Epoch [42/250], Train Loss: 0.0678
Epoch [43/250], Train Loss: 0.0400
Epoch [44/250], Train Loss: 0.0387
Epoch [45/250], Train Loss: 0.0627
Epoch [46/250], Train Loss: 0.0342
Epoch [47/250], Train Loss: 0.0468
Epoch [48/250], Train Loss: 0.0384
Epoch [49/250], Train Loss: 0.0271
Epoch [50/250], Train Loss: 0.0508
Epoch [51/250], Train Loss: 0.0400
Epoch [52/250], Train Loss: 0.0273
Epoch [53/250], Train Loss: 0.0428
Epoch [54/250], Train Loss: 0.0708
Epoch [55/250], Train Loss: 0.0341
Epoch [56/250], Train Loss: 0.0484
Epoch [57/250], Train Loss: 0.0417
Epoch [58/250], Train Loss: 0.0458
Epoch [59/250], Train Loss: 0.0451
Epoch [60/250], Train Loss: 0.0426
Epoch [61/250], Train Loss: 0.0406
Epoch [62/250], Train Loss: 0.0413
Epoch [63/250], Train Loss: 0.0324
Epoch [64/250], Train Loss: 0.0454
Epoch [65/250], Train Loss: 0.0361
Epoch [66/250], Train Loss: 0.0417
Epoch [67/250], Train Loss: 0.0366
Epoch [68/250], Train Loss: 0.0485
Epoch [69/250], Train Loss: 0.0259
Epoch [70/250], Train Loss: 0.0344
Epoch [71/250], Train Loss: 0.0616
Epoch [72/250], Train Loss: 0.0342
Epoch [73/250], Train Loss: 0.0365
Epoch [74/250], Train Loss: 0.0421
Epoch [75/250], Train Loss: 0.0190
Epoch [76/250], Train Loss: 0.0331
Epoch [77/250], Train Loss: 0.0267
Epoch [78/250], Train Loss: 0.0232
Epoch [79/250], Train Loss: 0.0182
Epoch [80/250], Train Loss: 0.0328
Epoch [81/250], Train Loss: 0.0322
Epoch [82/250], Train Loss: 0.0281
Epoch [83/250], Train Loss: 0.0349
Epoch [84/250], Train Loss: 0.0274
Epoch [85/250], Train Loss: 0.0174
Epoch [86/250], Train Loss: 0.0339
Epoch [87/250], Train Loss: 0.0304
Epoch [88/250], Train Loss: 0.0266
Epoch [89/250], Train Loss: 0.0319
Epoch [90/250], Train Loss: 0.0227
Epoch [91/250], Train Loss: 0.0409
Epoch [92/250], Train Loss: 0.0302
Epoch [93/250], Train Loss: 0.0223
Epoch [94/250], Train Loss: 0.0299
Epoch [95/250], Train Loss: 0.0183
Epoch [96/250], Train Loss: 0.0321
Epoch [97/250], Train Loss: 0.0142
Epoch [98/250], Train Loss: 0.0292
Epoch [99/250], Train Loss: 0.0232
Epoch [100/250], Train Loss: 0.0247
Epoch [101/250], Train Loss: 0.0228
Epoch [102/250], Train Loss: 0.0348
Epoch [103/250], Train Loss: 0.0147
Epoch [104/250], Train Loss: 0.0248
Epoch [105/250], Train Loss: 0.0251
Epoch [106/250], Train Loss: 0.0419
Epoch [107/250], Train Loss: 0.0142
Epoch [108/250], Train Loss: 0.0288
Epoch [109/250], Train Loss: 0.0392
Epoch [110/250], Train Loss: 0.0199
Epoch [111/250], Train Loss: 0.0249
Epoch [112/250], Train Loss: 0.0340
Epoch [113/250], Train Loss: 0.0367
Epoch [114/250], Train Loss: 0.0277
Epoch [115/250], Train Loss: 0.0269
Epoch [116/250], Train Loss: 0.0196
Epoch [117/250], Train Loss: 0.0173
Epoch [118/250], Train Loss: 0.0203
Epoch [119/250], Train Loss: 0.0210
Epoch [120/250], Train Loss: 0.0254
Epoch [121/250], Train Loss: 0.0254
Epoch [122/250], Train Loss: 0.0174
Epoch [123/250], Train Loss: 0.0213
Epoch [124/250], Train Loss: 0.0183
Epoch [125/250], Train Loss: 0.0200
Epoch [126/250], Train Loss: 0.0198
Epoch [127/250], Train Loss: 0.0208
Epoch [128/250], Train Loss: 0.0182
Epoch [129/250], Train Loss: 0.0222
Epoch [130/250], Train Loss: 0.0115
Epoch [131/250], Train Loss: 0.0312
Epoch [132/250], Train Loss: 0.0227
Epoch [133/250], Train Loss: 0.0230
Epoch [134/250], Train Loss: 0.0197
Epoch [135/250], Train Loss: 0.0190
Epoch [136/250], Train Loss: 0.0225
Epoch [137/250], Train Loss: 0.0201
Epoch [138/250], Train Loss: 0.0149
Epoch [139/250], Train Loss: 0.0239
Epoch [140/250], Train Loss: 0.0167
Epoch [141/250], Train Loss: 0.0184
Epoch [142/250], Train Loss: 0.0198
Epoch [143/250], Train Loss: 0.0107
Epoch [144/250], Train Loss: 0.0185
Epoch [145/250], Train Loss: 0.0193
Epoch [146/250], Train Loss: 0.0138
Epoch [147/250], Train Loss: 0.0198
Epoch [148/250], Train Loss: 0.0190
Epoch [149/250], Train Loss: 0.0334
Epoch [150/250], Train Loss: 0.0244
Epoch [151/250], Train Loss: 0.0144
Epoch [152/250], Train Loss: 0.0223
Epoch [153/250], Train Loss: 0.0247
Epoch [154/250], Train Loss: 0.0171
Epoch [155/250], Train Loss: 0.0188
Epoch [156/250], Train Loss: 0.0176
Epoch [157/250], Train Loss: 0.0143
Epoch [158/250], Train Loss: 0.0091
Epoch [159/250], Train Loss: 0.0164
Epoch [160/250], Train Loss: 0.0117
Epoch [161/250], Train Loss: 0.0193
Epoch [162/250], Train Loss: 0.0236
Epoch [163/250], Train Loss: 0.0108
Epoch [164/250], Train Loss: 0.0105
Epoch [165/250], Train Loss: 0.0185
Epoch [166/250], Train Loss: 0.0161
Epoch [167/250], Train Loss: 0.0156
Epoch [168/250], Train Loss: 0.0138
Epoch [169/250], Train Loss: 0.0119
Epoch [170/250], Train Loss: 0.0196
Epoch [171/250], Train Loss: 0.0122
Epoch [172/250], Train Loss: 0.0159
Epoch [173/250], Train Loss: 0.0131
Epoch [174/250], Train Loss: 0.0228
Epoch [175/250], Train Loss: 0.0103
Epoch [176/250], Train Loss: 0.0176
Epoch [177/250], Train Loss: 0.0164
Epoch [178/250], Train Loss: 0.0093
Epoch [179/250], Train Loss: 0.0138
